Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
5883,Yes,Air Miles,Letter,High,1,No,Medium,2,1,5,No,1151
5885,Yes,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,886.75
5904,Yes,Points,Postcard,High,1,No,Medium,1,1,2,Yes,1033.5
5916,Yes,Air Miles,Postcard,High,1,No,Low,3,2,2,No,1197.75
5918,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,3,Yes,1235.5
5919,Yes,Points,Letter,Low,1,No,Low,3,1,3,No,321.5
5921,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1143.5
5945,Yes,Air Miles,Postcard,High,1,No,Low,2,1,3,Yes,1034.25
5949,Yes,Air Miles,Letter,Low,1,Yes,Low,2,1,6,Yes,1045
5991,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,776.75
6036,Yes,Points,Postcard,High,1,No,Medium,1,1,4,No,1028.25
6043,Yes,Air Miles,Postcard,Low,1,No,High,2,1,3,No,892.5
6060,Yes,Air Miles,Letter,Low,1,No,Low,3,1,2,Yes,873.5
6104,Yes,Points,Postcard,Medium,1,No,Low,1,2,5,Yes,1178.5
6122,Yes,Air Miles,Postcard,Low,1,No,Low,2,2,3,No,973.5
6161,Yes,Air Miles,Letter,Low,1,No,Low,3,1,3,No,943
6184,Yes,Points,Postcard,Medium,3,No,Medium,2,1,3,No,215.25
6214,Yes,Points,Letter,High,1,Yes,Low,1,1,3,Yes,1001.5
6218,Yes,Points,Postcard,Medium,1,No,Low,2,1,3,Yes,1499
6224,Yes,Cash Back,Letter,High,1,No,Low,2,1,6,No,1073
6243,Yes,Air Miles,Letter,High,1,No,Low,2,2,5,Yes,1242
6258,Yes,Points,Letter,Medium,1,No,High,1,2,3,Yes,1293
6272,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,1,3,Yes,685.75
6287,Yes,Cash Back,Postcard,Medium,2,No,Low,2,1,3,No,1032.75
6292,Yes,Air Miles,Postcard,Low,1,No,High,4,1,4,Yes,929
6316,Yes,Points,Postcard,Medium,1,No,Low,1,1,2,Yes,987.75
6323,Yes,Air Miles,Postcard,High,2,No,Low,1,2,4,Yes,1351.75
6334,Yes,Air Miles,Letter,Medium,1,No,Medium,4,1,3,No,1134.25
6336,Yes,Cash Back,Postcard,Low,1,No,High,3,1,4,Yes,870.5
6344,Yes,Air Miles,Postcard,Medium,2,No,High,2,1,3,No,1148
6358,Yes,Air Miles,Postcard,Low,1,No,Low,2,2,5,Yes,1016.75
6367,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,5,No,317.5
6374,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,5,No,1284.25
6378,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,2,No,1087.75
6416,Yes,Points,Letter,Medium,1,No,Low,2,1,4,Yes,1195.25
6422,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,4,Yes,712.5
6427,Yes,Points,Postcard,Medium,2,No,Low,3,1,2,Yes,1113.25
6448,Yes,Air Miles,Letter,Medium,1,No,Low,3,1,1,No,716.75
6470,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,Yes,886.25
6477,Yes,Points,Postcard,High,1,No,Medium,2,2,5,Yes,325.25
6495,Yes,Points,Letter,Medium,1,No,Low,1,1,2,Yes,957.5
6497,Yes,Cash Back,Postcard,Medium,2,Yes,Low,1,1,3,No,1163.75
6501,Yes,Points,Postcard,Low,2,No,Medium,1,1,3,No,1180.75
6516,Yes,Cash Back,Postcard,Low,1,Yes,Medium,2,1,2,Yes,1028.75
6535,Yes,Cash Back,Postcard,Medium,2,No,Low,2,2,5,No,209
6544,Yes,Points,Letter,Low,1,No,Low,1,1,2,Yes,1171.75
6547,Yes,Air Miles,Postcard,Medium,1,Yes,Low,1,1,4,Yes,997.5
6555,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,3,No,1190.25
6561,Yes,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,668
6579,Yes,Cash Back,Postcard,Low,1,Yes,High,1,1,5,Yes,1083.75
6581,Yes,Cash Back,Postcard,High,2,No,Low,3,1,3,No,361.25
6589,Yes,Points,Postcard,Low,2,No,Low,1,1,4,Yes,981.75
6613,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,No,803.75
6661,Yes,Cash Back,Letter,Medium,2,No,Medium,2,1,2,Yes,992
6733,Yes,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,Yes,921.75
6754,Yes,Cash Back,Postcard,Low,1,No,Low,4,1,3,Yes,1145.5
6805,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,867.75
6808,Yes,Air Miles,Postcard,High,1,No,Low,1,1,4,Yes,1013.25
6823,Yes,Points,Letter,Medium,1,Yes,Low,4,1,2,No,82.5
6880,Yes,Cash Back,Postcard,Medium,2,No,Low,2,2,4,Yes,1114.75
6883,Yes,Air Miles,Postcard,Medium,1,No,Medium,1,2,6,Yes,1325
6885,Yes,Points,Letter,Low,2,No,Low,1,2,3,No,945.25
6919,Yes,Cash Back,Postcard,Medium,1,Yes,Low,2,1,1,Yes,988
6928,Yes,Air Miles,Postcard,High,3,No,Medium,2,2,5,Yes,976.25
6958,Yes,Points,Postcard,High,2,No,Medium,1,1,1,Yes,1013.25
6976,Yes,Points,Letter,Low,1,No,Low,1,1,3,Yes,897.5
7044,Yes,Air Miles,Postcard,Low,1,No,Medium,2,1,4,No,631.5
7059,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,1,Yes,1091.5
7062,Yes,Points,Letter,Medium,1,Yes,Low,2,1,3,No,1010.5
7077,Yes,Cash Back,Postcard,Low,1,No,High,1,1,5,Yes,962.75
7095,Yes,Points,Postcard,Medium,1,No,Low,3,3,3,Yes,1726
7119,Yes,Air Miles,Postcard,Low,1,No,Medium,4,1,6,Yes,760.25
7122,Yes,Cash Back,Postcard,Low,1,No,Low,3,2,2,Yes,1159.5
7138,Yes,Air Miles,Letter,Low,1,No,Low,2,1,2,No,220.25
7164,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,Yes,1306.25
7183,Yes,Points,Postcard,High,2,Yes,Low,2,1,3,No,1220.25
7186,Yes,Air Miles,Postcard,Medium,1,No,Medium,1,2,4,Yes,1173
7208,Yes,Air Miles,Postcard,Medium,2,Yes,High,2,1,3,Yes,732.5
7212,Yes,Air Miles,Postcard,Low,2,No,High,3,1,4,No,1041
7226,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,2,Yes,784.25
7231,Yes,Points,Postcard,Medium,1,No,Low,2,1,1,Yes,940.75
7271,Yes,Cash Back,Postcard,Low,1,No,Medium,1,2,3,Yes,1164.75
7279,Yes,Cash Back,Postcard,Low,1,No,Low,3,1,4,Yes,952.75
7302,Yes,Points,Postcard,Medium,1,No,Low,3,1,3,Yes,1146.5
7339,Yes,Air Miles,Letter,Medium,2,No,Medium,1,1,2,Yes,767.5
7361,Yes,Cash Back,Postcard,Low,3,No,High,1,1,2,No,992.75
7419,Yes,Points,Postcard,Medium,1,No,Medium,1,1,2,No,685.25
7483,Yes,Points,Letter,High,2,No,Low,1,2,3,Yes,643
7489,Yes,Points,Letter,Medium,1,No,High,1,2,3,Yes,277.5
7508,Yes,Air Miles,Letter,Low,2,No,Low,2,1,1,Yes,301.75
7514,Yes,Points,Postcard,High,1,No,High,2,1,4,Yes,1067.5
7554,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,1131.25
7593,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,No,1240.5
7598,Yes,Points,Postcard,Low,2,No,Medium,3,1,1,Yes,740.25
7617,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,3,No,1183.75
7623,Yes,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,1152
7635,Yes,Points,Postcard,Medium,1,No,Low,3,2,2,Yes,1239
7647,Yes,Cash Back,Postcard,Low,2,No,Medium,3,1,3,Yes,1038
7657,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1315.25
7678,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1003.25
7708,Yes,Cash Back,Postcard,Medium,2,No,Low,1,2,3,No,1288.25
7710,Yes,Points,Postcard,Low,1,Yes,Low,1,1,1,No,1296.5
7719,Yes,Points,Letter,Medium,1,No,Low,3,1,5,Yes,1129
7743,Yes,Cash Back,Postcard,High,2,No,Medium,1,1,3,No,954.5
7748,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,Yes,1794.5
7763,Yes,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,654
7773,Yes,Points,Letter,Medium,1,No,Low,2,2,6,No,1130.75
7817,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,2,Yes,1260
7831,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,Yes,991.5
7840,Yes,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1309.25
7888,Yes,Points,Postcard,Low,1,No,Low,1,2,5,No,854.75
7907,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,208
7912,Yes,Cash Back,Postcard,High,1,Yes,Low,3,2,3,No,1118.75
7916,Yes,Cash Back,Letter,Medium,1,No,Low,2,2,6,Yes,737.5
7969,Yes,Points,Letter,Medium,1,No,Low,3,1,3,Yes,891.25
7970,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,2,No,940.25
8014,Yes,Air Miles,Letter,Low,1,No,High,2,1,5,Yes,794
8025,Yes,Points,Letter,Low,1,No,Low,1,2,2,Yes,864.25
8038,Yes,Points,Letter,High,1,No,High,2,1,5,Yes,244.75
8050,Yes,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,1132.75
8082,Yes,Points,Letter,Medium,2,No,Medium,2,1,4,Yes,980.25
8123,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,4,No,1310.25
8127,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,4,Yes,203.5
8153,Yes,Cash Back,Postcard,Low,1,No,Medium,2,1,2,Yes,748.25
8177,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,4,No,940.5
8197,Yes,Air Miles,Letter,Medium,1,Yes,Medium,3,2,3,Yes,679.75
8213,Yes,Points,Postcard,Low,1,No,Low,2,1,4,Yes,1282.5
8254,Yes,Air Miles,Letter,Medium,1,Yes,Medium,3,1,3,Yes,956.75
8262,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,Yes,1127
8301,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1257.75
8319,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,Yes,896.75
8352,Yes,Points,Postcard,Low,1,No,Low,2,2,2,Yes,704.5
8382,Yes,Points,Postcard,Medium,1,No,High,2,1,4,Yes,726.5
8383,Yes,Points,Postcard,Medium,1,No,Low,2,3,2,Yes,1113.5
8388,Yes,Air Miles,Letter,Medium,1,No,Medium,2,2,2,No,1060
8465,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,698.5
8469,Yes,Air Miles,Letter,Medium,1,No,Medium,1,1,5,No,885.75
8505,Yes,Air Miles,Letter,High,1,No,Low,3,3,1,No,181.75
8511,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,5,Yes,1277
8515,Yes,Points,Postcard,Medium,1,No,Low,3,1,4,No,1227.5
8530,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,5,No,874.5
8531,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,211.25
8533,Yes,Points,Letter,Medium,1,No,Low,3,1,1,No,1387.75
8571,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,688
8590,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,992
8610,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,1,Yes,889.25
8630,Yes,Cash Back,Letter,Medium,1,No,Low,1,1,4,Yes,164.25
8634,Yes,Air Miles,Postcard,High,1,Yes,Medium,2,1,2,Yes,916.5
8642,Yes,Air Miles,Postcard,Low,1,No,Medium,3,2,5,Yes,1626.75
8648,Yes,Points,Postcard,Low,1,No,Low,2,1,3,No,1052.75
8683,Yes,Air Miles,Postcard,High,1,No,Low,2,1,3,No,1038.75
8689,Yes,Air Miles,Postcard,Medium,2,No,Medium,2,1,4,Yes,745.5
8763,Yes,Points,Postcard,Low,1,No,Low,2,1,4,Yes,789.5
8783,Yes,Points,Letter,Low,2,No,Medium,1,1,3,Yes,1052.5
8813,Yes,Points,Letter,Low,2,No,Low,1,1,5,Yes,949.75
8828,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,1,No,987.75
8848,Yes,Points,Postcard,Medium,2,No,Low,2,1,3,Yes,986.25
8852,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,1051
8854,Yes,Air Miles,Postcard,Medium,1,No,High,2,2,6,Yes,1358.75
8891,Yes,Points,Letter,Low,1,No,Medium,3,1,3,Yes,926
8909,Yes,Cash Back,Postcard,Medium,1,Yes,Low,2,2,3,Yes,831.5
8938,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,1,Yes,1106.5
8952,Yes,Air Miles,Letter,Medium,1,No,Low,1,2,6,Yes,1073.5
8966,Yes,Air Miles,Letter,Low,1,No,Low,2,1,4,Yes,939
8995,Yes,Air Miles,Postcard,Low,3,No,Low,3,1,4,Yes,1312
9032,Yes,Air Miles,Postcard,Low,2,No,Medium,1,1,1,Yes,1077.25
9044,Yes,Points,Postcard,Low,1,Yes,Low,2,1,5,Yes,1167
9057,Yes,Cash Back,Postcard,Medium,1,No,Low,2,2,4,Yes,869.25
9076,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1053.75
9086,Yes,Air Miles,Postcard,High,1,No,High,1,1,4,No,871.5
9125,Yes,Points,Letter,Low,1,No,Low,1,1,4,Yes,1193.25
9133,Yes,Points,Postcard,Low,1,No,Medium,2,1,5,Yes,915.75
9161,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,3,Yes,652
9207,Yes,Air Miles,Letter,Low,1,No,High,3,1,4,Yes,1262.25
9215,Yes,Air Miles,Postcard,High,1,No,Low,3,1,5,Yes,666.5
9219,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,931.25
9252,Yes,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,707
9267,Yes,Points,Postcard,Low,1,No,Low,2,1,2,Yes,1018.25
9276,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,1003
9282,Yes,Points,Letter,High,1,No,Low,3,1,3,No,190.5
9299,Yes,Air Miles,Letter,Low,2,No,High,2,2,3,No,227
9349,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,No,680
9386,Yes,Air Miles,Letter,Medium,2,Yes,Low,3,1,3,Yes,622.25
9449,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,246.25
9468,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,4,No,1319.75
9489,Yes,Air Miles,Letter,Medium,1,No,Low,3,1,2,Yes,686
9526,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,3,No,901
9533,Yes,Air Miles,Postcard,Low,1,No,High,1,2,2,No,979.75
9534,Yes,Air Miles,Postcard,Low,1,Yes,Low,3,1,3,Yes,718.25
9584,Yes,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1291.5
9595,Yes,Cash Back,Postcard,Medium,1,No,Medium,1,2,4,Yes,1375.5
9621,Yes,Points,Postcard,Medium,1,No,Medium,2,2,3,Yes,1195.5
9629,Yes,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,1441.25
9640,Yes,Air Miles,Letter,Medium,1,No,Low,3,1,2,Yes,735
9654,Yes,Points,Postcard,Medium,1,No,Medium,2,2,3,No,1163.5
9661,Yes,Points,Postcard,High,1,No,Medium,2,1,5,Yes,1283
9680,Yes,Points,Postcard,Low,2,No,Low,2,1,6,Yes,867.5
9690,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1191
9694,Yes,Air Miles,Postcard,Medium,2,No,Low,3,1,4,Yes,1239.25
9707,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,5,No,1206
9721,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,652.5
9754,Yes,Air Miles,Postcard,High,1,No,Low,1,1,3,Yes,1006
9765,Yes,Points,Letter,Medium,2,No,Medium,2,2,5,Yes,284.25
9777,Yes,Air Miles,Postcard,Medium,1,No,Medium,3,1,5,No,837.5
9799,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,No,1726.25
9821,Yes,Points,Postcard,Medium,1,No,Low,2,1,2,Yes,1176.25
9826,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,Yes,184.25
9846,Yes,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,1212.75
9847,Yes,Cash Back,Letter,Medium,2,No,Low,2,1,3,No,1066.75
9858,Yes,Air Miles,Postcard,Low,2,No,Low,3,1,4,No,1220.25
9893,Yes,Air Miles,Letter,Medium,2,No,Medium,3,2,3,No,967
9898,Yes,Points,Postcard,High,2,Yes,Low,2,1,3,No,1010.25
9904,Yes,Air Miles,Letter,Low,1,No,High,1,1,3,No,921.25
9925,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,4,Yes,1228.25
9940,Yes,Air Miles,Postcard,Medium,1,No,Low,3,2,3,No,258.25
9947,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,No,1074
9951,Yes,Air Miles,Letter,Medium,1,No,Medium,2,2,5,No,1040.5
9966,Yes,Air Miles,Postcard,Low,1,No,Low,1,1,3,Yes,942.5
9983,Yes,Points,Postcard,Low,1,No,Low,2,2,2,No,1145.25
10002,Yes,Points,Postcard,Medium,1,No,Medium,1,2,3,No,120.75
10021,Yes,Points,Letter,Low,1,Yes,Medium,2,1,4,Yes,910
10032,Yes,Points,Letter,Medium,1,No,Low,3,1,2,Yes,1327.25
10054,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,2,No,1094.5
10074,Yes,Air Miles,Postcard,High,2,No,Low,1,1,3,Yes,1215.5
10082,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,1145.25
10099,Yes,Points,Postcard,Medium,1,No,Low,2,1,3,Yes,1047
10130,Yes,Cash Back,Postcard,Low,1,No,Medium,1,2,5,No,1003.75
10147,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,939.75
10256,Yes,Cash Back,Postcard,Low,3,No,Low,3,1,2,Yes,1058.25
10261,Yes,Air Miles,Postcard,Low,1,No,Low,1,2,3,Yes,1280
10265,Yes,Points,Postcard,Medium,2,No,Medium,1,1,2,Yes,1216.25
10269,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,5,Yes,1184.5
10291,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,Yes,791.75
10301,Yes,Cash Back,Postcard,Medium,2,No,Low,3,1,3,Yes,876
10307,Yes,Air Miles,Postcard,Low,1,Yes,High,1,1,4,Yes,1162.25
10343,Yes,Points,Postcard,Low,1,Yes,Low,2,1,4,No,729.75
10352,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,1062.25
10357,Yes,Points,Postcard,Medium,2,No,High,3,1,3,No,1065.25
10381,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,5,Yes,1214.25
10384,Yes,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,814
10405,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,1049.75
10443,Yes,Points,Postcard,Medium,1,No,High,3,1,3,Yes,802.5
10447,Yes,Air Miles,Postcard,Low,2,No,Medium,3,1,3,Yes,1300.25
10465,Yes,Points,Postcard,Medium,1,No,Medium,1,3,3,Yes,297.25
10496,Yes,Air Miles,Postcard,Medium,2,No,Low,2,1,4,No,1203
10511,Yes,Air Miles,Postcard,Low,1,No,Low,4,1,4,Yes,806.5
10555,Yes,Cash Back,Postcard,Medium,1,No,Low,1,3,4,No,1044.5
10587,Yes,Points,Postcard,Low,1,Yes,Low,3,2,5,Yes,326.75
10644,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,1041.75
10670,Yes,Points,Postcard,Medium,1,No,Low,1,2,2,Yes,159.5
10679,Yes,Air Miles,Postcard,Medium,2,Yes,Low,1,1,5,Yes,905.75
10691,Yes,Air Miles,Postcard,High,1,No,Low,3,1,2,Yes,1152.5
10738,Yes,Air Miles,Postcard,Low,1,Yes,Low,3,1,1,Yes,260.25
10763,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1082
10764,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,1305.5
10775,Yes,Points,Postcard,Medium,1,Yes,Medium,2,1,3,Yes,172
10777,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,800.5
10785,Yes,Air Miles,Postcard,Low,1,No,Medium,3,2,3,Yes,978.5
10800,Yes,Cash Back,Letter,Medium,1,No,Low,1,1,5,No,1141
10804,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1346.75
10817,Yes,Cash Back,Letter,Low,1,No,Low,3,1,5,Yes,260
10835,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,771.75
10863,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,1216
10874,Yes,Points,Postcard,High,2,No,Low,1,2,2,Yes,396.25
10882,Yes,Points,Postcard,High,2,No,Low,2,1,5,Yes,370
10912,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,1085.75
10949,Yes,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,3,Yes,1141.25
10966,Yes,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,1280.5
10973,Yes,Cash Back,Letter,Medium,1,No,Low,3,1,3,No,1014
10995,Yes,Air Miles,Postcard,Low,2,Yes,Low,2,1,3,Yes,393
11010,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,3,Yes,351.75
11041,Yes,Points,Postcard,High,1,Yes,Low,1,1,3,Yes,749.5
11048,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,2,No,944.75
11063,Yes,Points,Letter,Low,1,No,Low,2,2,3,No,247.25
11079,Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,5,Yes,224.5
11104,Yes,Air Miles,Letter,Low,2,No,Low,1,1,4,No,1092.5
11128,Yes,Air Miles,Letter,Medium,2,No,Low,1,1,4,Yes,1230.5
11130,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,2,Yes,972.5
11220,Yes,Cash Back,Postcard,Medium,1,Yes,Low,2,2,4,No,898
11222,Yes,Points,Postcard,Low,1,No,High,2,1,2,Yes,1344.75
11228,Yes,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,1175.25
11240,Yes,Cash Back,Postcard,Low,2,No,Low,1,1,3,Yes,1253.5
11259,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,2,2,2,No,771.5
11262,Yes,Points,Letter,Medium,1,No,Low,2,2,2,Yes,1198.25
11278,Yes,Air Miles,Letter,Medium,1,No,High,1,1,3,Yes,1160.25
11292,Yes,Air Miles,Postcard,Medium,1,Yes,Low,2,1,6,No,180.25
11326,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,5,Yes,1019.25
11336,Yes,Air Miles,Postcard,Medium,2,No,Low,3,1,4,No,1295.5
11347,Yes,Points,Postcard,Low,1,No,Low,3,1,3,No,1095.75
11360,Yes,Points,Postcard,Medium,2,No,Medium,1,1,1,Yes,312.75
11367,Yes,Cash Back,Postcard,High,1,Yes,Low,1,2,4,Yes,1029.75
11393,Yes,Points,Postcard,High,1,Yes,Medium,2,1,3,No,197.75
11402,Yes,Air Miles,Letter,Low,1,Yes,Medium,3,1,3,Yes,966.25
11444,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,1797
11449,Yes,Points,Postcard,Low,1,No,Low,4,1,3,Yes,1147.75
11454,Yes,Cash Back,Postcard,Low,2,No,Low,1,1,3,Yes,1114.25
11461,Yes,Air Miles,Letter,Medium,1,No,High,2,2,4,No,225
11467,Yes,Points,Postcard,Low,2,No,High,1,1,2,No,689.75
11468,Yes,Points,Letter,Low,1,Yes,Low,3,1,4,Yes,1129
11470,Yes,Points,Postcard,Low,1,No,Medium,2,1,5,Yes,1066.75
11476,Yes,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,165
11483,Yes,Points,Postcard,Medium,1,No,Low,2,1,2,Yes,922.75
11488,Yes,Points,Postcard,Low,1,Yes,Low,2,1,3,No,778.25
11510,Yes,Points,Letter,Medium,1,No,Low,1,1,4,Yes,1317
11554,Yes,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,1033.75
11573,Yes,Points,Letter,Low,1,No,Low,2,1,5,Yes,1263.25
11597,Yes,Cash Back,Postcard,High,1,No,Medium,2,1,4,No,275.25
11623,Yes,Cash Back,Postcard,Medium,2,No,Low,2,1,4,No,742
11628,Yes,Cash Back,Letter,Medium,2,No,Low,3,1,3,Yes,1241.5
11650,Yes,Air Miles,Letter,Medium,1,No,Low,3,2,5,No,867
11707,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,4,Yes,1709.75
11746,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,6,Yes,267.75
11771,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,1,Yes,686.25
11791,Yes,Air Miles,Postcard,Medium,2,No,High,3,1,4,No,250.5
11813,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,1,Yes,1284.75
11815,Yes,Points,Letter,Low,1,No,Low,3,1,4,No,376.5
11854,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,2,No,701.5
11861,Yes,Cash Back,Postcard,Low,2,No,Low,1,1,2,Yes,966
11862,Yes,Air Miles,Postcard,Medium,1,Yes,Low,3,2,4,Yes,593.25
11869,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,5,No,922.75
11922,Yes,Air Miles,Postcard,Medium,1,No,Low,2,1,2,No,957.5
11938,Yes,Cash Back,Postcard,Low,2,No,Medium,2,1,3,Yes,1040.75
11946,Yes,Points,Letter,Medium,2,No,Medium,2,1,4,Yes,311
11957,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,2,2,4,No,673.25
11990,Yes,Air Miles,Postcard,Medium,1,Yes,Low,1,1,2,No,1249.5
11993,Yes,Cash Back,Letter,Medium,1,No,Low,2,2,2,Yes,964.5
12025,Yes,Points,Letter,Low,1,No,Low,1,1,2,Yes,1303.75
12056,Yes,Points,Postcard,Low,1,No,Low,3,1,3,No,345
12059,Yes,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1253.75
12062,Yes,Air Miles,Postcard,High,1,No,Medium,1,2,4,Yes,1188.5
12073,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,No,1135
12089,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,4,Yes,970
12142,Yes,Cash Back,Postcard,Low,2,Yes,Medium,3,1,4,No,971.5
12144,Yes,Air Miles,Postcard,Medium,1,No,Low,2,2,5,Yes,1598
12160,Yes,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,1116.75
12166,Yes,Cash Back,Postcard,Low,1,No,Medium,2,1,5,No,1018.75
12182,Yes,Air Miles,Postcard,Medium,1,Yes,Low,3,1,5,Yes,1207
12229,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,114.5
12231,Yes,Cash Back,Postcard,Low,2,No,Medium,4,1,4,Yes,921
