rewardvalue,mailertype,incomelevel,creditratingvalue,Credit Cards Held,Household Size,Average Balance,Offer Accepted
0,0,1,0,3,4,812.5,No
3,0,1,0,3,3,1156.75,No
3,0,0,1,2,1,940.75,No
0,0,1,1,2,5,815.5,No
3,0,1,1,2,4,1068.5,No
1,0,1,0,2,4,1039.25,No
0,0,1,1,2,4,1035.5,No
3,0,1,2,1,3,0,No
0,0,1,2,1,4,855.75,No
3,0,3,1,1,5,1016.25,No
1,1,0,1,2,4,1416.5,No
1,1,3,0,2,2,1021.25,No
0,1,1,0,2,3,273.25,No
1,0,1,0,2,4,833.25,No
3,0,0,1,2,4,816.5,No
1,1,0,2,1,3,270.75,No
0,1,0,2,2,1,1112.5,No
1,0,3,0,2,4,872.25,Yes
0,0,0,2,2,4,1367.25,No
0,0,1,2,2,3,1340.75,No
1,1,3,0,1,4,1044.75,No
1,1,1,2,1,3,777.75,No
0,0,3,0,2,3,911,No
3,1,3,2,2,3,623.25,No
0,1,1,1,4,3,1213.5,No
0,0,0,2,1,4,1047.25,No
3,1,0,1,2,5,210,No
0,0,1,2,2,3,1024,No
1,1,3,2,3,5,1070,No
0,1,1,0,2,3,767.75,No
0,0,3,0,2,4,969.5,No
0,0,0,1,3,1,938.25,No
0,1,1,2,1,2,384,No
0,1,1,0,2,5,902,No
3,1,1,2,2,4,778.75,No
0,0,3,1,2,3,756.5,No
0,1,0,0,3,4,321.5,Yes
3,0,0,2,2,3,1495.5,No
0,0,0,0,1,5,887.75,No
0,0,1,2,1,3,963,No
3,0,0,1,2,3,1200.5,No
0,0,3,2,2,2,976,No
0,0,1,0,2,3,1040.5,No
0,1,3,1,2,4,1284.5,No
3,1,0,0,2,5,1238.5,Yes
0,1,3,1,3,5,325.5,No
1,1,0,0,1,3,1002,No
1,0,3,1,1,3,958,No
3,1,1,2,2,2,1094.25,No
1,1,1,1,3,5,1012.5,No
1,0,1,2,1,2,720,No
1,0,3,2,1,3,169.5,No
1,0,1,2,2,5,1355.75,No
3,1,3,1,2,3,1111.5,Yes
0,0,1,1,3,4,732.25,No
0,1,1,1,2,4,1032,No
1,0,0,2,3,3,978.25,No
3,1,3,2,2,4,1114.5,No
3,1,0,0,3,4,266.75,No
1,1,0,2,2,3,782,No
3,1,3,2,4,4,1272,No
0,0,0,0,2,3,1171,No
0,0,1,0,2,4,326.25,No
1,1,1,1,3,5,1582,No
0,1,0,0,1,5,173.75,Yes
3,1,1,1,1,2,1042.25,No
0,0,1,2,2,2,233.5,No
1,1,3,1,2,5,1398.75,No
3,1,1,1,2,4,274,No
3,1,3,0,1,1,767.5,Yes
3,0,3,2,3,3,1269.25,No
0,0,0,1,1,4,1055.25,No
0,1,1,2,3,4,71.25,No
3,0,3,2,2,4,1400.25,No
0,1,0,2,1,4,1141.25,No
3,1,3,1,2,1,1415.5,No
3,0,0,0,1,2,266.75,No
1,1,1,0,1,2,285.75,No
3,1,1,0,2,4,1062.5,Yes
0,1,1,2,2,5,901.25,No
3,1,1,2,2,3,652.75,No
3,0,1,1,1,5,1094.5,No
0,0,0,1,2,4,947.5,No
3,1,0,1,3,4,179.75,No
1,1,1,1,2,4,789.25,No
3,1,3,0,1,6,167.25,No
1,1,0,1,2,2,1072.25,No
3,0,3,1,1,3,725.25,No
0,1,1,0,3,4,1055.25,Yes
0,1,1,1,1,3,198,No
0,1,0,2,2,2,165.25,No
0,1,3,2,2,3,646,No
0,1,3,0,3,3,894.25,No
1,0,0,0,2,3,724,No
3,0,1,2,2,2,302.25,No
0,0,1,1,2,4,1732.75,No
3,1,0,0,2,2,1334,No
1,0,1,2,1,5,933.5,No
1,1,1,1,2,2,1275.5,No
0,0,1,1,1,5,865,No
0,1,3,1,1,3,859,No
1,1,3,2,1,5,107.25,No
0,1,3,1,3,5,1004.5,No
3,1,1,1,2,4,1794.5,No
3,1,0,1,1,2,884.25,No
3,1,1,1,2,2,1194,No
3,0,0,1,1,5,1036.75,No
0,1,0,2,2,4,1738,No
3,0,0,1,1,2,799,No
0,1,1,2,1,2,1268.5,No
3,0,1,0,1,3,968,No
1,1,1,1,2,2,756.75,No
0,1,1,0,2,4,1436.75,No
0,1,3,2,3,4,1391.25,No
1,1,1,1,1,3,1150.25,No
1,0,3,1,2,4,770.75,No
3,1,0,0,1,4,1036,No
0,1,1,0,1,4,1164.25,No
1,0,1,1,4,3,1083.25,No
1,1,1,0,2,4,1144.5,No
1,0,1,1,3,4,1332,No
1,1,1,2,2,4,901.5,No
1,1,3,2,2,5,733.25,No
3,0,3,0,2,5,1003.75,No
1,1,1,0,2,6,1145,No
0,1,3,0,1,3,1093,No
1,1,3,0,1,4,216.75,No
1,1,3,1,2,3,1105.5,No
0,0,0,2,1,2,1262.5,No
0,1,1,0,2,5,1251,No
1,1,1,1,2,4,233.75,No
3,0,0,2,1,3,785.5,No
0,0,1,0,1,3,957.75,No
3,1,1,2,3,3,176.25,No
1,1,3,0,2,2,1124.25,No
3,0,0,2,1,4,1018,No
0,1,1,2,1,5,1307.75,No
0,0,1,2,1,4,1291.5,No
1,0,0,0,3,4,907.5,No
0,1,1,0,2,4,996.25,No
0,0,1,2,1,4,1183,No
3,0,1,2,3,3,974.25,No
1,1,3,2,1,2,932.75,No
0,1,1,1,2,3,1242.75,No
3,1,0,0,2,2,974,No
0,0,1,2,2,2,1196.25,No
0,0,1,2,2,3,1362.25,No
3,0,1,2,3,2,740,No
0,0,3,1,2,4,918.75,No
0,1,0,0,2,6,1147.25,No
0,1,1,2,3,4,1195.75,Yes
0,1,1,0,3,3,783.25,No
0,0,1,1,3,2,1175,No
0,1,1,1,2,4,1136,No
1,0,3,1,1,6,978.25,No
0,0,1,1,3,2,756.25,No
1,0,0,2,2,4,278.5,No
1,0,1,2,1,4,1099.75,No
1,1,0,0,2,3,1064.25,No
0,1,3,0,3,4,939.5,Yes
3,0,3,1,2,5,759.5,No
0,0,3,1,1,5,730.25,No
1,1,3,1,1,4,980.75,Yes
3,1,0,0,2,5,1296.5,No
3,0,3,1,2,5,942.75,No
0,1,1,2,3,3,206.5,No
0,1,3,2,4,5,1070,No
0,1,1,1,2,4,262,No
0,1,3,2,2,3,1201.5,No
3,0,3,2,1,4,938.75,No
1,1,3,0,2,2,1216.75,No
3,1,3,2,2,3,883.75,No
0,0,0,2,3,3,1186.25,No
3,1,1,0,2,5,1062.5,No
0,1,3,0,3,3,960.5,No
0,0,3,1,1,3,291.5,Yes
1,0,1,2,1,3,925.25,No
3,1,3,1,1,4,781.25,No
1,0,0,2,3,2,1282.75,No
3,0,1,1,4,4,1175.75,No
0,1,0,1,2,4,912.75,No
3,1,3,0,2,2,1073.25,No
1,1,3,1,2,3,1007,No
1,0,3,2,1,3,720.25,No
1,0,1,2,2,4,1243.25,No
3,1,3,2,1,2,238,No
1,1,1,2,2,3,1247,No
3,1,0,2,2,2,1029.5,No
3,1,1,1,3,1,752.25,No
0,0,3,2,1,3,695,No
3,0,1,0,3,2,1087.25,No
3,1,0,1,3,4,1234.5,No
1,1,0,1,2,3,931.5,No
0,0,0,0,3,5,1139,No
1,0,1,0,3,3,1026,No
0,0,1,1,2,5,1291,No
1,0,3,2,1,3,881.5,No
0,0,1,2,2,4,1539,No
0,1,1,1,1,3,1084,No
0,0,1,2,3,4,760.5,No
1,1,0,2,4,2,1204.25,No
0,1,1,2,1,5,1165,No
3,0,1,1,1,3,1314.5,No
0,1,1,2,2,3,313.75,No
3,0,3,0,2,4,1308.75,No
0,0,3,2,1,3,1044.25,No
0,0,3,2,1,1,708.25,No
0,0,3,1,2,4,926.25,No
1,0,1,1,2,2,846,No
0,0,1,0,2,2,640,No
3,0,3,2,2,4,1154,No
1,1,1,2,3,4,915.25,No
3,0,1,0,1,2,231.25,No
1,0,1,1,2,5,121.25,No
0,0,3,0,4,3,690,No
3,1,3,2,1,3,1179.5,No
1,0,1,2,1,3,276.75,No
1,1,1,0,1,4,996,No
0,1,1,2,2,5,1065.5,No
3,1,3,1,3,3,1096.25,No
3,0,1,1,1,4,1932,No
3,0,1,0,1,2,1232.5,No
3,1,1,0,2,3,970,No
3,0,1,1,2,4,1030.5,No
3,0,1,2,2,3,171.5,No
3,0,0,1,1,3,801.75,Yes
0,0,3,0,3,3,1322,No
3,0,0,2,2,1,1317.75,No
3,0,1,1,1,2,1074,No
3,0,1,2,3,6,669,No
1,1,0,0,3,4,687.5,No
3,1,1,1,2,4,844,No
0,0,1,0,2,5,1377.75,No
3,1,0,2,2,3,680,No
0,1,1,1,2,2,1089.75,No
3,1,1,1,1,5,904,No
1,1,1,2,3,4,180.75,No
1,0,1,2,1,5,729,No
1,1,0,2,3,3,1136.75,No
0,0,1,2,3,2,821,No
1,1,1,2,2,1,1174,No
1,0,0,0,4,5,1211.5,No
0,1,3,0,3,3,750.5,No
0,0,1,2,1,5,1044,No
3,1,1,1,1,4,1164,No
1,1,1,0,2,4,280,No
0,0,0,2,1,2,705.5,No
3,1,1,1,2,3,123.5,No
0,0,3,1,2,2,990,No
1,1,1,0,2,5,1121,No
1,0,1,2,2,4,1396.75,No
1,1,1,1,1,1,1365.5,No
3,0,1,0,1,3,1117.25,No
1,1,1,2,1,2,861.25,No
1,0,0,0,1,5,1202.75,No
1,0,3,2,2,3,959.5,No
0,0,1,2,3,2,287.25,No
1,0,3,2,1,3,1041.75,No
0,1,1,0,3,4,943.5,No
0,1,1,1,1,3,148.25,No
1,0,1,0,2,5,1196,No
0,1,1,1,1,5,880.25,No
0,1,1,2,1,3,962.75,No
1,1,1,1,3,4,909,No
3,0,1,2,2,3,1020.5,No
3,0,1,1,1,5,321,No
0,0,1,2,2,4,991,No
1,1,0,0,3,2,865.5,No
0,0,3,1,2,3,1273,No
0,1,1,1,2,4,876.5,No
1,1,1,1,3,5,1314.5,No
0,1,3,2,2,5,960.5,No
1,1,1,1,2,3,759.75,No
3,0,1,2,4,5,1174.25,No
3,1,3,1,1,3,1180.5,No
3,0,1,0,1,2,987.25,No
1,1,1,2,2,6,754.25,No
0,0,0,2,1,2,895,No
1,1,1,0,1,3,896.25,No
3,1,1,2,2,5,1198,No
3,1,0,0,1,2,1445,No
1,1,1,1,2,4,1388,No
3,0,3,1,4,2,998.5,No
0,0,1,1,1,4,1013.25,No
0,0,0,0,1,5,895,No
3,1,1,1,2,2,732.5,No
3,1,3,2,2,4,205.25,No
3,0,3,1,2,5,948,No
0,1,1,2,3,3,1229,No
3,1,1,2,1,3,1102.75,No
0,0,1,1,3,2,202.75,No
1,0,1,0,2,2,939,No
1,0,3,1,1,3,1129.25,No
0,1,3,1,3,6,1227.75,No
3,1,1,0,1,4,726,No
0,1,0,1,2,3,780.25,No
3,1,3,1,1,2,1425.75,No
3,0,3,1,2,3,660.75,No
0,0,3,1,1,4,1306,No
1,0,1,1,4,3,1023.75,No
3,1,0,1,2,3,1004,No
1,0,1,1,2,3,987.25,No
1,1,3,2,2,4,1223.75,No
0,1,3,2,2,4,1176,No
3,0,0,1,1,3,827.75,No
0,1,1,2,3,3,1032.75,No
3,0,1,1,1,4,1316.5,No
0,1,3,1,2,3,1257.75,No
1,0,1,2,1,5,684,No
3,0,1,1,2,3,1010.5,No
0,0,1,1,2,3,1250.75,No
0,1,1,0,1,3,730.25,No
1,0,0,0,2,5,1153.75,No
3,1,1,0,3,3,922.75,No
0,0,1,1,1,3,1464.25,No
0,1,3,1,1,4,229.75,No
1,1,1,1,1,3,1309.25,No
0,0,3,0,1,4,915,No
0,0,3,1,3,4,230.75,No
1,0,3,1,2,6,601.5,No
1,0,3,0,2,3,917.25,No
3,0,1,1,1,2,241.75,No
3,1,3,2,3,2,830.25,No
3,0,1,2,2,2,993.25,No
3,0,3,1,3,3,944,No
3,1,1,2,1,4,757.5,No
0,0,1,2,1,2,1032.25,No
0,1,1,1,2,4,262,No
1,1,1,0,3,5,869.5,No
0,1,1,0,1,2,1236.25,Yes
1,0,0,1,2,5,830.25,No
1,0,1,2,2,4,1066.5,No
1,0,3,0,2,4,1121.75,No
1,0,1,2,3,3,1008.25,No
1,1,0,1,3,2,1526.75,No
1,0,0,2,3,5,944.25,No
1,1,1,0,2,3,194,No
3,0,1,2,3,4,1054.25,Yes
0,1,1,2,3,3,1724.75,No
1,0,3,2,1,5,878,No
1,1,3,1,2,3,1114.75,No
1,1,1,1,1,1,365.25,No
3,0,0,2,2,4,357.75,No
0,0,3,2,1,3,1009.25,No
3,0,3,2,1,4,986.25,No
1,0,3,1,2,5,169.5,No
1,1,1,2,2,4,1049.75,No
1,1,1,1,3,4,863.5,No
1,1,3,2,2,6,970.5,No
3,1,3,1,2,5,854,No
0,1,3,0,2,4,1054,No
3,0,1,1,2,5,1502.75,No
1,0,0,2,1,4,888.5,No
1,1,1,0,1,4,991.5,No
1,0,3,0,4,5,692.25,No
1,0,3,2,2,3,1127,No
1,1,1,0,2,2,940.25,No
0,0,0,2,2,5,1226.75,No
0,1,3,0,1,3,1034.75,No
3,0,3,2,2,4,710,No
0,0,1,2,1,4,817.25,No
3,0,1,1,1,5,1177.5,No
3,1,3,2,1,4,1158.75,No
1,1,0,0,1,4,1290.5,No
0,0,0,2,1,2,1770,No
3,0,3,0,2,5,896.25,No
1,1,3,1,2,5,904,No
0,0,1,0,2,4,256,No
1,0,1,2,2,5,1155,No
0,1,1,0,2,3,1087.25,No
1,0,3,2,2,4,1163.25,No
3,0,3,2,1,3,654.5,No
3,1,1,2,1,3,217.25,No
0,0,0,2,4,4,1212,No
0,0,3,1,2,6,1181,No
3,1,1,0,3,5,1338.5,No
1,0,1,0,1,5,1699.75,No
1,0,1,1,3,4,1156,No
3,1,1,1,2,3,337,No
1,0,3,0,1,3,1105.25,No
3,1,1,1,1,5,732.25,No
3,1,0,1,2,5,1205.75,No
0,1,1,2,2,2,1298.75,Yes
1,1,0,2,1,2,1093.25,No
3,1,3,1,1,3,813.75,No
0,1,0,1,2,3,1028,No
3,0,0,0,3,3,1136.25,No
0,1,3,2,2,3,1065.75,No
1,1,1,2,2,3,835,No
0,1,3,1,1,5,1091.75,No
0,0,3,1,1,2,1009.5,No
0,1,1,1,1,2,1415,No
0,0,0,2,2,3,132,No
0,0,0,2,2,4,1792,No
0,0,0,0,4,5,1420,No
3,0,1,2,2,3,1057,No
1,0,1,2,1,4,1345,No
0,0,0,2,2,2,1093.5,No
1,1,0,0,2,3,1094.25,Yes
0,1,0,0,2,2,1726.5,Yes
1,0,0,2,3,3,341.25,No
0,0,0,2,2,1,1132.75,No
0,1,1,0,1,4,788.25,Yes
0,0,0,2,3,3,1012.75,No
1,0,1,0,2,4,787.25,No
1,0,3,0,1,3,1275.75,No
3,1,1,0,1,4,960.25,Yes
3,1,3,1,2,2,686,No
0,1,1,1,1,5,1163,No
1,1,1,1,1,3,1636.25,No
0,1,3,2,2,4,1059.5,No
1,1,1,0,2,5,1063,Yes
3,1,1,2,2,4,1264,No
1,0,1,1,3,2,1146,No
1,1,3,1,2,4,1213,No
0,0,3,1,1,3,724,No
1,0,1,1,2,4,1132.75,No
1,1,3,0,3,4,1477.5,No
1,1,1,2,3,4,1229.5,No
0,0,3,0,2,3,208.5,No
1,1,1,1,3,5,272.5,No
3,1,1,0,1,3,670.25,No
1,1,1,2,2,3,1046.25,No
1,1,1,0,2,3,1062,No
1,0,0,1,1,2,1033,No
0,0,0,1,3,2,680,No
3,0,1,2,1,2,1365.5,No
1,1,0,2,2,4,1058.5,No
1,1,1,1,1,3,816.5,No
3,0,1,2,2,2,1079,No
3,0,3,2,2,3,1097.75,No
0,1,0,1,4,4,1173.75,No
0,0,1,0,2,5,299.25,No
3,1,0,0,2,4,1332,No
3,1,1,1,2,5,938.25,No
0,1,3,2,1,1,992.75,No
0,0,3,2,1,2,1130.25,No
1,0,1,1,1,4,1297,No
0,0,3,2,2,3,965.5,No
0,0,1,1,3,4,1851.75,No
1,0,0,1,2,5,288.75,No
1,1,0,2,2,3,1160.75,No
0,0,3,1,1,3,679,No
1,1,0,2,1,3,1780,No
1,0,1,1,1,3,178.75,No
3,0,0,0,1,3,1172,Yes
3,1,1,2,2,4,1381,No
1,0,1,2,4,5,1309.25,No
3,1,3,0,4,4,1095,No
1,0,0,2,1,4,1365.75,No
1,0,0,2,1,4,616,No
0,1,1,0,3,5,1005.5,Yes
1,1,3,0,3,3,199.5,No
3,0,0,1,2,3,1067.75,No
1,1,3,1,2,4,267.5,No
1,1,1,0,3,3,898.5,No
0,0,3,2,1,3,1000.25,No
3,0,0,1,2,5,709.25,No
1,0,0,2,1,3,994.5,No
1,0,1,1,2,5,1070,No
3,1,3,2,1,4,1394.75,No
0,1,3,0,3,2,1131.5,No
3,1,1,2,2,2,980.5,No
3,1,3,2,2,4,948,No
3,1,1,2,2,1,1010.5,No
0,1,0,0,2,4,168.5,Yes
3,1,1,2,1,4,995.5,No
1,1,3,1,1,5,1469,No
0,0,1,2,2,5,947,No
3,1,0,2,3,3,1071,No
3,1,3,1,4,3,1084.25,No
3,0,0,2,2,4,931.75,No
0,1,0,0,1,2,724.25,Yes
0,1,1,2,2,4,1242.5,Yes
1,1,1,0,2,3,256.75,No
1,0,0,2,1,4,801.5,No
0,0,3,0,3,4,1060,No
1,0,3,1,3,4,760.5,No
1,0,1,0,1,2,207.25,No
0,1,3,0,2,5,1025.5,Yes
3,1,3,1,2,2,1108,No
0,0,0,2,1,5,1086.5,No
3,1,3,2,3,4,1146.5,No
3,1,0,1,1,5,1157.5,No
1,1,1,2,4,3,1162.25,No
3,1,0,1,3,4,1077,No
3,0,0,1,3,4,1178.5,No
3,0,1,2,2,5,1088,No
1,1,0,1,3,3,1153.5,No
3,0,0,0,3,2,225,No
1,1,1,1,1,4,700,No
1,1,1,1,2,5,972.25,Yes
1,0,3,1,3,4,1101.5,No
3,0,3,1,2,4,1041.5,No
1,0,1,0,1,2,1393.25,No
3,1,1,0,1,2,1272.75,No
0,1,1,2,3,5,855.75,No
3,1,1,1,3,3,952.25,No
1,1,0,2,3,4,889.5,No
1,1,1,2,2,3,1360.25,No
0,0,1,1,2,4,1195.25,No
1,1,3,0,3,3,219.75,No
3,0,3,1,1,4,937.5,No
0,0,1,1,2,3,1073.5,No
3,1,1,0,1,2,1049.5,No
0,0,0,1,1,4,1420,No
3,1,3,0,2,5,155.75,No
3,1,3,2,2,2,1033,No
3,1,1,2,1,3,845.75,No
0,1,1,1,3,5,1126.5,No
0,1,1,1,1,5,806.25,Yes
3,0,1,1,1,4,896.75,No
0,1,1,1,2,1,1003.25,No
3,0,0,1,1,5,805.25,No
3,1,1,0,2,2,980,No
1,1,3,1,4,5,972.25,No
3,1,3,2,1,3,1005,No
3,1,0,2,3,3,1322.75,No
0,0,3,0,1,3,1130.5,No
1,1,1,2,2,5,681.5,No
1,0,1,1,2,2,1340,No
0,0,3,1,2,5,1148.75,No
3,1,0,1,1,3,249.5,No
1,1,0,0,1,4,1022,No
0,0,0,1,1,4,1126.75,No
3,1,1,0,2,4,381,Yes
0,1,1,1,2,4,1358.5,No
3,0,0,1,2,2,894.75,No
1,1,1,2,2,3,1089.75,No
1,0,3,2,3,4,316.25,No
0,0,1,1,2,3,172.25,No
1,0,1,1,3,2,726,No
1,1,1,1,3,4,907.75,No
1,1,3,2,2,4,701.75,No
0,1,1,2,1,4,1258,No
0,1,1,1,3,3,736.75,No
0,0,3,0,1,3,923.75,No
0,0,1,2,1,2,965,No
0,0,1,0,3,3,202.5,No
1,0,0,2,3,4,901.75,No
3,0,3,2,3,4,917.75,No
1,1,1,2,2,6,1217.25,No
3,0,1,2,1,2,1703.25,No
1,1,0,1,2,3,1065,No
3,1,1,1,3,3,1004.25,No
1,0,1,0,1,1,1053.75,No
3,0,3,1,3,3,779.5,No
0,1,1,1,3,3,675,No
1,0,1,0,1,2,1081.25,No
1,1,1,2,2,2,1345.75,No
0,1,0,0,1,4,1130.5,No
1,0,1,2,1,4,700.5,No
0,1,1,2,1,4,1030.25,No
3,1,0,0,1,3,967,No
1,0,3,1,4,5,1386.75,No
3,0,1,1,1,2,1135.5,No
1,0,1,2,3,3,1130,No
3,0,1,0,2,3,940,No
0,1,3,2,4,3,1338.5,No
1,0,3,0,2,2,869.75,No
0,0,1,2,1,5,1119.25,No
3,1,1,0,2,3,1441.25,No
3,0,3,1,1,6,841,No
1,1,1,2,2,5,766.25,No
0,0,1,2,2,5,1185.25,No
1,0,1,2,1,3,1670.5,No
1,0,1,2,1,3,836.25,No
0,1,1,2,1,5,1708.5,No
1,0,3,0,3,5,780,No
1,0,0,1,4,2,846.25,No
1,1,3,2,1,5,1134.75,No
1,1,3,1,1,4,884.25,No
0,0,1,1,3,4,983.25,No
0,0,3,2,1,5,1322.25,No
3,0,1,2,1,3,911.5,No
3,1,0,1,1,4,151.75,No
3,0,0,2,2,4,808.25,No
3,1,1,2,2,2,1130.75,No
1,0,3,0,1,2,1103,No
3,1,3,1,2,4,1156.5,No
1,0,3,1,2,4,1071,No
3,0,0,1,1,2,1196,No
1,1,3,0,2,5,297.75,No
3,0,1,2,3,2,956.25,No
0,0,1,0,1,5,1073.5,Yes
0,1,1,0,1,4,1828,No
1,1,1,2,1,3,1143.75,No
1,1,1,0,2,3,1120.5,No
3,1,1,0,3,3,1056.5,No
1,1,0,2,1,3,1310.25,No
0,1,1,1,1,2,981.75,No
1,1,1,0,1,4,1222.75,No
0,1,0,1,3,2,1327,No
1,1,0,2,2,6,1311,No
3,0,0,0,1,2,735.25,No
3,0,1,1,2,3,1182.25,No
0,1,3,0,3,2,986.25,Yes
3,1,1,0,1,4,1058.25,No
3,1,1,2,2,2,184.5,No
1,1,1,2,1,4,1158.25,No
0,1,3,1,2,4,1810.25,No
0,1,0,0,2,4,0,No
3,0,1,1,2,3,1151.75,No
1,1,1,2,2,5,1093.25,No
3,1,0,1,1,1,1487.5,No
1,1,1,1,3,2,1045.5,No
1,1,1,1,3,4,1016,No
0,1,0,0,2,2,1126.5,No
1,1,3,1,2,4,1166.75,No
0,1,1,0,2,5,1305.75,No
0,0,1,2,3,6,905,No
1,1,1,2,2,3,864.25,No
0,1,1,0,2,5,816,No
0,1,1,1,3,5,0,No
1,1,0,1,1,5,965.5,No
1,0,3,1,1,5,1005.75,No
0,1,1,2,3,3,1074.25,No
0,1,1,2,2,4,1042.25,No
0,0,1,0,3,2,1248.5,No
0,0,0,0,3,3,1043.5,No
1,1,3,1,1,4,1017,No
0,0,3,0,2,3,939.25,No
3,1,1,2,2,5,1204.25,No
3,0,1,0,1,3,392.25,No
0,1,3,1,1,3,299,No
0,1,0,0,2,1,276,Yes
1,1,1,0,4,3,1025.75,No
0,0,0,2,2,5,1032.25,No
0,0,0,1,1,3,338.25,No
0,1,3,2,2,3,1195.25,No
0,0,3,2,2,4,1240.5,No
1,1,1,1,2,3,976,No
0,0,3,0,1,4,1061.5,No
3,0,1,2,2,2,1016.75,No
3,1,1,1,1,4,48.25,No
1,0,1,2,2,1,1173.25,No
0,0,1,1,2,4,779.25,No
3,1,3,1,3,3,787,No
1,1,1,2,1,4,875,No
1,1,1,1,2,2,211.25,No
1,1,0,2,2,2,872.75,No
1,1,1,2,2,3,869,No
0,1,3,1,2,3,1065.5,No
3,0,3,1,2,3,255.5,No
3,0,1,1,1,3,1312.25,No
3,1,1,1,1,4,968,No
0,1,1,0,2,4,1297,No
0,0,1,1,2,3,1193.25,No
3,1,1,2,1,3,1022.75,No
1,0,1,0,1,2,1092,No
1,1,3,0,1,2,1501.25,No
3,1,1,2,2,4,1813.25,No
0,1,1,0,1,4,1298.75,No
1,0,0,2,2,4,196.75,No
0,0,1,1,2,5,713.25,No
1,1,3,1,3,3,1180.25,No
1,0,1,2,3,5,1151,No
3,1,1,2,2,3,1221.25,No
0,1,1,2,2,2,1031.25,No
3,0,1,1,1,2,1070.25,No
3,0,0,2,3,4,1068,No
1,1,0,2,2,4,258.75,No
3,0,1,0,1,4,1337.5,No
3,0,1,0,2,5,1706.25,No
1,0,3,1,3,3,233,No
0,0,0,0,3,2,347,No
3,0,1,1,2,5,1005.5,No
1,1,0,0,2,3,1436.25,Yes
3,0,0,0,2,6,1025,No
0,0,1,2,1,3,1474.5,No
0,0,0,0,1,5,1104.5,No
0,1,3,2,3,4,1127,No
1,0,1,2,2,2,773.25,No
1,1,3,2,1,2,699.5,No
1,1,3,1,3,3,1062.5,No
0,0,0,1,1,3,1077,No
0,0,1,1,3,3,673.5,Yes
3,0,3,1,2,5,755.5,No
1,1,1,1,2,2,1730.75,No
0,0,1,1,2,3,779.75,No
1,1,3,2,1,4,273.5,No
3,1,1,0,2,4,1322.25,No
1,1,1,1,3,4,279,No
3,0,1,1,4,4,964,No
1,0,3,0,4,4,370,No
1,1,1,1,3,3,745.5,No
0,0,3,0,2,4,1211.25,No
3,1,3,0,2,4,1100.25,No
1,1,1,0,2,4,753.75,No
1,0,3,2,2,4,780.5,No
1,0,1,2,2,4,950.5,No
0,0,3,1,1,3,792.75,No
1,1,1,2,1,3,995,No
1,1,3,2,4,3,1866,No
1,0,0,1,3,3,1080.75,No
3,0,1,0,1,5,1357.5,No
3,1,1,1,2,4,246.75,No
1,0,3,0,4,5,149.25,No
3,1,1,0,2,4,230.75,No
1,1,1,2,2,3,1711.25,No
0,1,1,2,1,2,804.75,No
3,0,1,0,2,2,1223,No
0,1,1,0,1,5,1209.5,No
3,1,3,0,1,2,256.75,No
0,1,1,1,3,4,1338.5,No
1,0,0,1,2,2,902.5,No
0,1,3,0,2,3,163.25,No
3,1,3,0,2,3,1063.75,No
1,1,1,2,1,2,134,No
3,0,1,1,1,2,1111,No
1,0,3,0,3,4,925.25,No
1,0,1,0,2,2,728,No
0,0,0,2,1,3,937.75,No
1,0,1,2,2,2,1332,No
0,0,0,2,1,5,695.5,No
3,1,3,0,3,2,777.5,No
3,1,1,0,3,4,1022,No
3,1,1,2,1,4,1051.5,No
1,1,0,1,2,5,1025,No
0,1,0,0,3,4,1074.5,No
3,0,1,0,2,5,831.25,No
1,1,1,1,1,3,1066.75,No
3,1,0,2,2,5,1034.5,No
1,1,1,0,2,2,379,No
0,1,1,2,3,3,1170.25,No
3,1,1,1,1,3,934.75,No
3,1,1,1,2,2,268.75,No
1,1,1,1,2,4,994.75,No
3,0,3,2,3,5,1309.25,No
1,0,3,1,2,5,356.75,No
0,1,1,1,1,5,1012,No
3,1,3,0,1,3,1151.25,No
3,0,0,2,2,4,1052,No
3,0,3,0,2,2,1000.5,No
0,0,1,1,1,2,1053.75,No
3,0,3,0,3,3,1180,No
0,0,0,2,3,4,1071.75,No
3,1,0,1,3,4,211,No
0,1,3,0,2,4,1025.75,No
1,1,1,0,1,5,1080.5,No
1,1,0,1,1,4,956.25,No
0,1,1,0,1,4,1036.75,No
0,0,3,0,2,4,1081.5,No
0,0,1,2,1,3,1129.25,No
0,0,0,1,1,2,875.75,No
1,1,0,2,1,3,1104.5,No
0,1,1,0,2,3,1040.25,No
1,1,1,0,1,2,1069,No
0,1,1,1,3,5,1227.25,Yes
0,1,1,0,1,4,939.5,No
1,1,3,2,1,5,1045.75,No
3,0,1,0,4,4,1169.5,No
1,1,3,2,1,2,1163.25,No
1,0,3,2,2,2,221.5,No
0,1,3,0,1,4,925.75,No
3,0,3,0,1,3,926,No
3,0,3,0,1,4,1773.25,No
0,1,3,2,2,5,1170.25,No
3,1,0,2,2,3,1263.75,No
1,1,3,0,2,5,1099.25,No
3,0,0,0,2,4,1312.25,No
0,0,0,2,3,3,999.25,No
0,1,1,1,2,4,169.25,Yes
1,0,0,0,1,4,861.5,No
1,1,1,0,1,3,1123.5,Yes
3,0,1,0,2,2,350.75,No
1,0,1,1,2,3,186.25,No
0,0,1,0,2,4,1060.5,No
3,1,0,2,2,2,684,Yes
1,1,1,0,2,5,905.5,Yes
1,0,1,0,2,4,895.5,No
