Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,Bank Accounts Open,Overdraft Protection,Credit Rating,Credit Cards Held,Homes Owned,Household Size,Own Your Home,Average Balance
2560,No,Cash Back,Postcard,Medium,2,No,High,1,1,5,Yes,1111
2561,No,Air Miles,Postcard,Low,2,No,High,1,1,4,Yes,924.75
2562,No,Air Miles,Postcard,Medium,1,No,High,1,1,4,No,1104.5
2563,No,Cash Back,Letter,Medium,1,No,Medium,1,1,5,Yes,1235
2564,No,Cash Back,Letter,High,3,No,Low,1,2,6,Yes,1062.5
2565,No,Air Miles,Letter,Low,1,No,High,3,1,2,Yes,1033
2566,No,Cash Back,Letter,Medium,1,Yes,Medium,2,1,4,No,212
2567,No,Air Miles,Postcard,Medium,2,No,Low,2,1,3,No,1043.75
2568,Yes,Air Miles,Letter,Medium,1,No,Low,1,2,2,No,849.25
2569,No,Points,Postcard,High,1,Yes,High,1,1,5,Yes,1258.5
2570,No,Points,Postcard,High,1,Yes,High,2,1,5,Yes,1019.5
2571,No,Air Miles,Letter,Medium,2,Yes,Low,2,3,3,Yes,736.75
2572,No,Air Miles,Letter,Medium,1,Yes,Low,1,1,5,Yes,1358.5
2573,No,Points,Letter,Medium,1,Yes,Medium,3,1,3,Yes,1144.75
2574,No,Cash Back,Letter,Medium,1,No,High,3,1,3,Yes,223.25
2575,No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,207.5
2576,No,Points,Postcard,Low,2,Yes,Medium,2,1,3,No,1195.5
2577,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,819.5
2578,No,Points,Postcard,Low,2,Yes,Medium,2,1,3,Yes,1185.5
2579,No,Points,Letter,Medium,1,No,Medium,1,2,4,No,779
2580,No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,883.5
2581,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,200
2582,No,Cash Back,Postcard,Medium,2,No,High,3,2,4,No,1106.75
2583,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,269.5
2584,No,Cash Back,Postcard,High,1,No,Medium,1,1,5,Yes,1228
2585,No,Cash Back,Letter,High,1,No,Low,3,2,3,No,956
2586,No,Cash Back,Postcard,Medium,1,No,High,3,1,4,Yes,944.5
2587,No,Cash Back,Letter,Medium,2,No,High,2,1,3,Yes,1213.5
2588,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,213
2589,No,Points,Letter,High,1,Yes,Low,1,1,3,Yes,1094.5
2590,No,Cash Back,Letter,Low,1,No,Low,1,1,3,Yes,1230.75
2591,No,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,1263
2592,No,Cash Back,Postcard,High,1,No,High,1,1,3,Yes,755.75
2593,No,Cash Back,Letter,High,3,Yes,Medium,2,1,4,No,669
2594,No,Cash Back,Postcard,Medium,2,No,Low,2,1,4,No,1360
2595,No,Cash Back,Postcard,High,1,No,High,2,1,5,No,1371.5
2596,No,Air Miles,Postcard,Medium,1,No,High,1,1,2,No,945.5
2597,No,Points,Postcard,Low,1,No,Medium,2,1,5,Yes,180
2598,No,Air Miles,Letter,High,2,Yes,Low,2,1,3,Yes,91.25
2599,No,Cash Back,Postcard,High,1,No,Medium,1,1,2,Yes,810.5
2600,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,No,1059.5
2601,No,Points,Postcard,Medium,1,No,Low,2,1,3,Yes,813
2602,No,Cash Back,Postcard,High,2,No,Low,1,1,3,Yes,1079
2603,No,Cash Back,Letter,Low,1,No,High,2,1,4,No,1036.75
2604,No,Points,Letter,Medium,1,No,Low,3,2,2,Yes,1226
2605,No,Air Miles,Postcard,Medium,2,No,High,2,2,2,Yes,1350
2606,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1082.25
2607,No,Points,Letter,High,1,No,High,1,1,4,No,755
2608,No,Cash Back,Letter,Medium,1,No,High,2,1,1,Yes,990.75
2609,No,Points,Postcard,Medium,1,No,Medium,1,1,4,Yes,819
2610,Yes,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,1,No,758.5
2611,No,Air Miles,Letter,High,1,No,Medium,2,1,4,Yes,1626.75
2612,No,Cash Back,Postcard,Medium,1,Yes,Medium,3,1,3,No,736.5
2613,No,Air Miles,Letter,High,1,No,Low,2,2,1,Yes,1641.75
2614,No,Air Miles,Postcard,Low,1,No,Medium,2,1,5,Yes,1049.25
2615,No,Air Miles,Letter,High,1,No,High,1,2,3,No,241.5
2616,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,201
2617,No,Points,Postcard,Low,2,No,Low,2,2,2,No,996.75
2618,No,Points,Postcard,High,2,No,Low,2,1,4,No,878.25
2619,No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,1087
2620,No,Air Miles,Letter,High,1,No,High,2,2,3,No,1042.75
2621,No,Points,Letter,Low,1,No,Medium,2,1,5,Yes,1239.25
2622,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,No,1218.75
2623,No,Cash Back,Postcard,Low,2,No,High,2,1,4,No,976.75
2624,No,Air Miles,Letter,High,1,No,Medium,1,1,6,Yes,1307.5
2625,Yes,Air Miles,Postcard,Low,1,Yes,High,2,1,1,No,201.75
2626,No,Points,Postcard,Medium,1,No,Low,3,2,5,Yes,1100
2627,No,Air Miles,Letter,Medium,2,Yes,Low,2,2,3,No,741
2628,Yes,Points,Letter,High,2,No,Medium,1,1,5,Yes,1766.5
2629,Yes,Cash Back,Letter,Low,1,No,Low,3,1,4,No,948.5
2630,No,Points,Postcard,Medium,1,No,High,2,1,3,Yes,1261.25
2631,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,908.5
2632,No,Cash Back,Letter,Medium,1,No,Low,1,1,5,Yes,1360.75
2633,Yes,Air Miles,Postcard,Medium,2,Yes,High,2,1,3,Yes,1193.5
2634,No,Points,Letter,Medium,1,No,High,3,1,4,Yes,1325
2635,No,Air Miles,Letter,Medium,1,No,Low,4,1,3,Yes,1182.25
2636,No,Points,Letter,Low,1,No,Medium,2,1,3,No,935.5
2637,No,Air Miles,Letter,High,1,No,High,2,1,4,Yes,991
2638,No,Cash Back,Postcard,Low,1,Yes,High,3,1,3,No,1056.5
2639,No,Points,Postcard,Medium,1,Yes,Medium,2,2,3,Yes,952.25
2640,No,Air Miles,Letter,High,1,No,Medium,3,2,3,No,784.25
2641,No,Cash Back,Postcard,Low,1,No,High,1,1,2,No,253
2642,No,Air Miles,Letter,High,3,No,Medium,2,1,3,No,1257
2643,No,Cash Back,Letter,Medium,1,Yes,High,3,1,3,Yes,1197.75
2644,No,Air Miles,Letter,High,1,No,High,2,1,4,No,153.25
2645,No,Points,Postcard,Medium,1,No,Low,3,1,5,Yes,799
2646,No,Air Miles,Letter,Low,1,No,High,2,1,2,Yes,1121.5
2647,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,2,Yes,629.75
2648,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,Yes,788
2649,No,Cash Back,Postcard,Low,1,No,Medium,1,1,3,No,225.75
2650,No,Cash Back,Letter,Low,2,No,High,3,1,5,Yes,749
2651,No,Air Miles,Letter,Medium,1,No,Low,2,1,4,Yes,1045.75
2652,No,Points,Postcard,Medium,1,No,High,1,1,4,No,1330.75
2653,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,949.5
2654,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1071.5
2655,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,No,1814.75
2656,No,Points,Letter,Medium,1,Yes,Low,2,1,5,No,2336.75
2657,No,Points,Letter,Low,1,No,High,1,1,2,Yes,937
2658,No,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,173
2659,No,Points,Letter,Low,1,No,High,3,1,2,Yes,1204.75
2660,No,Points,Postcard,Medium,2,Yes,High,3,1,3,Yes,695
2661,No,Points,Postcard,Medium,1,No,Low,2,1,2,Yes,1062.25
2662,No,Points,Postcard,Low,2,No,Medium,2,1,5,No,936
2663,No,Cash Back,Postcard,High,1,No,Low,3,2,3,No,959
2664,No,Cash Back,Postcard,Medium,1,Yes,High,1,1,4,Yes,227
2665,No,Cash Back,Postcard,Medium,1,Yes,High,1,1,3,Yes,1051.75
2666,No,Air Miles,Postcard,Medium,2,No,Medium,2,1,6,Yes,798.5
2667,No,Points,Letter,Medium,1,Yes,Medium,2,1,5,Yes,1101.5
2668,No,Points,Letter,Medium,1,No,High,1,1,3,No,744.5
2669,No,Cash Back,Letter,High,1,Yes,Medium,2,1,3,Yes,745.25
2670,No,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,1049.75
2671,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,1078.5
2672,No,Air Miles,Postcard,Low,1,No,Low,2,1,3,No,1010.25
2673,No,Air Miles,Postcard,Medium,1,No,Low,3,1,2,No,116.25
2674,No,Points,Letter,Low,1,No,Low,2,1,3,Yes,700.25
2675,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,1273.5
2676,No,Points,Postcard,Low,1,No,High,3,2,3,No,1126
2677,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,No,1030.25
2678,No,Air Miles,Postcard,Medium,1,No,High,4,1,3,Yes,793.5
2679,No,Cash Back,Letter,High,1,No,High,2,2,4,Yes,884.75
2680,No,Points,Postcard,Low,1,No,High,1,1,2,No,789.75
2681,No,Air Miles,Postcard,Low,1,No,High,2,1,6,No,1025
2682,No,Points,Postcard,Medium,1,Yes,Low,2,1,2,No,959
2683,No,Points,Letter,Medium,1,Yes,Medium,2,1,3,Yes,613
2684,Yes,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,867
2685,Yes,Points,Postcard,Medium,1,No,Low,2,1,4,No,1215.5
2686,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,891.75
2687,No,Cash Back,Postcard,Low,2,Yes,Low,2,1,3,Yes,922.5
2688,No,Points,Letter,Medium,2,No,High,1,1,4,Yes,1673.25
2689,No,Air Miles,Postcard,High,1,No,High,2,2,3,Yes,760.25
2690,No,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,No,273.5
2691,No,Cash Back,Postcard,High,1,No,High,3,1,2,Yes,1328.25
2692,No,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,252.25
2693,No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,667
2694,No,Air Miles,Letter,Medium,1,No,Low,1,1,1,No,749.25
2695,No,Cash Back,Postcard,Low,1,No,Medium,3,1,2,Yes,1207.5
2696,No,Air Miles,Postcard,Medium,1,Yes,High,1,1,5,No,1095
2697,No,Air Miles,Postcard,Medium,1,No,High,1,2,3,No,707.75
2698,No,Air Miles,Postcard,Medium,1,No,High,4,1,4,Yes,1240.25
2699,No,Air Miles,Postcard,Low,1,No,Medium,2,1,3,No,1168.25
2700,No,Cash Back,Postcard,High,2,No,Medium,1,2,4,Yes,1189.75
2701,No,Points,Postcard,Medium,1,No,Low,1,1,3,No,1263
2702,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,990
2703,No,Cash Back,Letter,Medium,2,No,High,4,1,4,Yes,1268.75
2704,No,Points,Postcard,High,1,Yes,Medium,1,1,3,No,184.5
2705,No,Cash Back,Postcard,Medium,3,No,Medium,1,1,4,No,197.75
2706,No,Air Miles,Letter,Medium,1,Yes,Medium,3,1,3,Yes,1609.25
2707,No,Points,Letter,Low,1,Yes,Low,1,2,3,Yes,1175.75
2708,No,Air Miles,Letter,High,2,No,High,2,2,6,Yes,1350
2709,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1272
2710,No,Cash Back,Postcard,Medium,2,Yes,Medium,2,1,3,Yes,954.25
2711,No,Points,Letter,Low,1,Yes,Low,1,1,2,Yes,1196.75
2712,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,1355.5
2713,No,Points,Letter,Medium,1,No,Low,2,1,5,No,268
2714,No,Air Miles,Postcard,Low,2,No,Low,3,1,3,No,933.25
2715,Yes,Points,Letter,High,1,Yes,Medium,2,1,2,No,1210.75
2716,No,Cash Back,Postcard,Medium,1,Yes,High,2,1,4,No,206
2717,No,Cash Back,Letter,Medium,1,No,Medium,4,1,2,Yes,1289
2718,No,Points,Letter,Medium,1,Yes,Medium,1,1,4,Yes,970.25
2719,Yes,Points,Postcard,Low,1,Yes,Medium,1,2,5,No,306.75
2720,No,Cash Back,Postcard,Medium,2,No,Low,2,1,5,Yes,1031
2721,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,Yes,1011.25
2722,No,Air Miles,Postcard,Low,1,No,Low,1,2,2,Yes,1198.25
2723,No,Points,Letter,Medium,1,No,Low,2,1,3,Yes,1336.25
2724,No,Cash Back,Letter,Medium,1,No,Low,3,1,3,Yes,905
2725,No,Points,Postcard,High,1,No,High,2,1,4,Yes,1408.25
2726,No,Air Miles,Letter,Medium,1,Yes,Medium,2,1,2,Yes,1248.25
2727,No,Points,Postcard,High,1,No,Low,1,2,5,Yes,1005.75
2728,No,Cash Back,Letter,Medium,1,No,High,1,2,4,Yes,322.5
2729,No,Cash Back,Letter,Medium,1,Yes,High,2,1,4,Yes,1261.75
2730,No,Cash Back,Postcard,High,1,Yes,Low,1,2,2,Yes,645.5
2731,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,977.5
2732,No,Points,Postcard,Low,2,No,High,4,1,3,No,310
2733,No,Cash Back,Postcard,High,1,No,Low,2,1,3,Yes,948.75
2734,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,Yes,1006.5
2735,No,Points,Postcard,Medium,2,No,High,3,1,5,Yes,145.25
2736,No,Cash Back,Letter,Medium,1,Yes,Low,3,1,3,Yes,230.25
2737,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1058
2738,No,Cash Back,Letter,Medium,1,No,Medium,1,1,2,No,329.5
2739,No,Cash Back,Letter,High,1,Yes,High,2,1,2,Yes,831
2740,No,Points,Letter,Medium,1,No,High,2,1,2,No,717.5
2741,No,Cash Back,Letter,Low,1,No,Medium,1,1,3,No,164
2742,No,Cash Back,Letter,Medium,1,No,Medium,3,1,3,Yes,758.25
2743,No,Points,Letter,Low,1,No,Medium,2,1,5,Yes,251.75
2744,No,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,866.5
2745,No,Air Miles,Letter,Medium,2,No,Medium,1,1,3,No,1153
2746,No,Air Miles,Postcard,Medium,2,No,High,2,2,2,Yes,975.5
2747,No,Points,Postcard,Low,1,No,High,1,2,2,Yes,202.25
2748,No,Points,Letter,Medium,2,No,Medium,1,2,2,No,1215.25
2749,No,Points,Letter,Medium,1,No,High,2,1,3,Yes,717.25
2750,No,Cash Back,Postcard,High,2,No,High,1,1,3,Yes,1263.25
2751,No,Points,Postcard,Low,1,No,High,1,1,2,No,341.5
2752,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,Yes,754.75
2753,No,Air Miles,Postcard,High,1,No,Low,3,1,4,No,1223.75
2754,No,Air Miles,Postcard,Medium,1,No,Low,2,2,5,No,1004.75
2755,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,1191.75
2756,No,Points,Letter,Low,2,No,Medium,1,1,3,No,982
2757,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,1145.75
2758,No,Air Miles,Postcard,Medium,2,No,High,3,1,2,Yes,1018
2759,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,1012.5
2760,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,1250.5
2761,Yes,Points,Postcard,Medium,1,No,Low,1,2,3,Yes,1079
2762,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1041.5
2763,Yes,Air Miles,Letter,Medium,1,No,Medium,1,2,3,No,962.75
2764,No,Air Miles,Postcard,Low,1,No,Medium,3,2,3,Yes,195.5
2765,No,Points,Letter,Medium,1,No,Medium,3,1,5,Yes,1046.75
2766,No,Air Miles,Postcard,Low,1,No,Low,1,1,5,Yes,769.75
2767,No,Cash Back,Postcard,Medium,1,No,High,2,1,4,Yes,1045
2768,Yes,Cash Back,Postcard,Low,1,No,Medium,4,1,5,Yes,318.5
2769,No,Cash Back,Letter,Medium,1,Yes,Medium,3,2,4,No,1803.75
2770,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,819.75
2771,No,Points,Postcard,Medium,1,No,Medium,1,1,2,No,1226.5
2772,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,668.5
2773,No,Air Miles,Postcard,Low,1,No,High,2,1,4,No,968.25
2774,No,Air Miles,Letter,High,1,No,Low,1,1,3,No,700.25
2775,No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,Yes,1083.75
2776,No,Cash Back,Postcard,Medium,1,No,Low,2,1,1,Yes,1108.5
2777,No,Cash Back,Postcard,High,1,No,Medium,1,1,3,No,1251.25
2778,No,Points,Letter,Medium,1,No,High,2,2,3,Yes,693
2779,No,Points,Letter,Medium,1,Yes,Low,2,1,2,Yes,834.25
2780,No,Points,Postcard,Medium,2,Yes,High,3,2,3,Yes,1005.25
2781,No,Air Miles,Letter,Medium,1,No,Medium,1,2,3,Yes,1158.5
2782,No,Points,Postcard,High,1,No,High,2,1,6,Yes,927.75
2783,No,Points,Letter,High,2,No,High,2,1,3,Yes,998
2784,No,Points,Postcard,Medium,1,No,Medium,3,1,4,No,1231
2785,No,Cash Back,Letter,Medium,1,No,High,1,1,3,Yes,245.75
2786,No,Points,Postcard,High,1,No,High,1,1,5,Yes,1094.75
2787,No,Air Miles,Postcard,High,2,No,Low,1,1,3,No,1162
2788,No,Points,Letter,Low,1,No,High,3,1,3,No,902.75
2789,No,Cash Back,Postcard,Medium,1,No,High,2,1,3,Yes,1035.25
2790,No,Points,Letter,Low,1,Yes,High,2,1,4,No,779.25
2791,No,Cash Back,Letter,Medium,1,No,High,2,1,2,No,991.75
2792,No,Air Miles,Postcard,Low,1,Yes,Low,1,1,5,Yes,290.25
2793,No,Points,Letter,Medium,2,No,Low,3,1,4,Yes,56
2794,No,Points,Postcard,Low,2,No,Medium,2,2,3,No,1146
2795,No,Cash Back,Postcard,Low,1,No,High,3,1,3,No,935.75
2796,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,1242.5
2797,No,Cash Back,Letter,Medium,2,Yes,Medium,2,2,3,Yes,1056.75
2798,No,Air Miles,Letter,Medium,1,No,High,2,2,4,Yes,1737.5
2799,No,Cash Back,Postcard,Low,2,No,Medium,1,1,3,Yes,1084.75
2800,No,Air Miles,Postcard,High,1,No,High,3,1,4,Yes,1066.75
2801,No,Cash Back,Letter,High,1,No,Medium,2,2,3,Yes,1016.25
2802,Yes,Points,Letter,High,1,No,Low,2,2,3,Yes,1193
2803,No,Points,Letter,Medium,1,Yes,Medium,2,2,2,Yes,306.5
2804,No,Air Miles,Postcard,Low,1,No,Medium,1,1,6,Yes,331
2805,No,Air Miles,Letter,Medium,1,Yes,Medium,1,2,1,No,754
2806,No,Points,Letter,High,1,No,Medium,3,1,3,Yes,590.5
2807,No,Points,Postcard,Low,1,No,Low,1,1,5,Yes,755.5
2808,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,767.5
2809,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,1096.25
2810,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,3,Yes,936.5
2811,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1134
2812,No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,1307.75
2813,No,Points,Letter,High,2,Yes,Medium,2,2,3,Yes,1011.5
2814,No,Cash Back,Letter,Medium,1,Yes,High,2,2,2,Yes,1002
2815,No,Air Miles,Postcard,High,2,No,Low,2,1,4,Yes,1019
2816,No,Air Miles,Postcard,Low,1,No,Medium,1,2,4,No,930.5
2817,No,Cash Back,Letter,High,1,Yes,High,2,1,3,Yes,206
2818,No,Cash Back,Letter,High,1,No,Medium,1,1,3,Yes,1022
2819,No,Cash Back,Postcard,Medium,2,No,High,1,1,3,Yes,1196.75
2820,No,Air Miles,Letter,Low,1,No,High,3,1,3,Yes,1212.75
2821,No,Points,Postcard,Medium,1,No,Low,2,1,3,No,999
2822,No,Points,Postcard,Medium,1,No,Medium,1,1,5,No,243.75
2823,No,Points,Letter,Medium,1,No,Medium,3,1,5,No,816.5
2824,Yes,Points,Letter,Medium,2,No,Low,2,1,3,Yes,1227.25
2825,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1321
2826,No,Cash Back,Letter,Low,1,No,High,3,1,3,Yes,950.75
2827,No,Air Miles,Postcard,High,3,No,High,3,2,5,Yes,1049.5
2828,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,No,736.5
2829,No,Air Miles,Postcard,Medium,2,No,Medium,1,2,4,No,1128.25
2830,No,Air Miles,Letter,Low,1,No,High,3,1,3,No,1286.5
2831,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,5,Yes,1456
2832,No,Cash Back,Postcard,High,1,No,High,1,2,4,Yes,1344.25
2833,No,Air Miles,Letter,Low,2,No,Medium,2,1,3,No,1020.5
2834,No,Points,Letter,Medium,1,No,Medium,2,1,1,Yes,949.25
2835,No,Air Miles,Postcard,High,2,Yes,Medium,1,2,2,Yes,1189.75
2836,No,Cash Back,Letter,Medium,1,No,Low,2,2,4,Yes,1280.25
2837,No,Cash Back,Letter,Medium,2,Yes,Low,2,3,3,Yes,139
2838,Yes,Air Miles,Letter,Low,2,No,Low,2,1,2,Yes,1066.75
2839,No,Cash Back,Postcard,High,1,No,High,3,1,5,Yes,190.25
2840,No,Cash Back,Letter,Medium,1,No,Medium,3,1,4,Yes,992
2841,No,Points,Postcard,High,1,No,High,1,1,4,Yes,818.25
2842,No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,Yes,639
2843,No,Cash Back,Postcard,Medium,1,No,Low,3,1,1,No,785.5
2844,No,Air Miles,Postcard,Medium,2,No,Low,3,1,4,Yes,134.75
2845,No,Points,Letter,Medium,2,No,High,1,1,6,Yes,231.25
2846,No,Points,Letter,Medium,1,Yes,High,2,1,4,Yes,978.75
2847,Yes,Air Miles,Postcard,Low,1,Yes,High,2,2,3,No,1736
2848,No,Air Miles,Letter,High,1,No,High,4,1,3,No,1270
2849,No,Cash Back,Letter,High,1,No,High,4,1,4,Yes,1334.75
2850,No,Air Miles,Letter,High,1,No,High,1,1,2,No,239
2851,No,Cash Back,Postcard,Medium,1,No,Low,3,1,3,Yes,692.25
2852,No,Cash Back,Letter,Medium,1,No,High,2,1,4,Yes,218.75
2853,Yes,Points,Postcard,Medium,1,No,Low,1,2,2,No,1052.75
2854,Yes,Points,Postcard,Medium,1,No,Low,2,1,3,No,680.5
2855,No,Points,Letter,Medium,1,No,Medium,1,2,4,Yes,1115.25
2856,No,Cash Back,Postcard,Medium,1,No,High,2,1,6,Yes,1263.25
2857,No,Air Miles,Letter,Medium,1,No,Low,3,1,4,Yes,1504
2858,No,Air Miles,Letter,Medium,1,No,Medium,3,1,3,No,624
2859,No,Points,Postcard,Low,1,No,High,2,1,5,Yes,293.25
2860,No,Points,Postcard,Low,1,No,Medium,2,1,5,Yes,898.5
2861,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,273.5
2862,No,Cash Back,Letter,Low,2,No,Medium,2,1,2,Yes,1180
2863,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1144.25
2864,No,Air Miles,Letter,Medium,1,No,Low,3,2,3,Yes,1167.5
2865,No,Air Miles,Postcard,Low,2,No,High,2,1,5,No,337
2866,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,235.75
2867,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,812.75
2868,No,Cash Back,Letter,High,1,No,Low,2,1,5,Yes,1328.25
2869,No,Points,Postcard,Medium,1,No,Medium,2,1,5,Yes,1334.75
2870,Yes,Points,Postcard,Low,1,No,Medium,2,2,4,No,1198.75
2871,No,Air Miles,Postcard,High,1,No,High,1,1,6,Yes,704.75
2872,No,Air Miles,Letter,Low,1,No,Low,3,2,3,Yes,353.25
2873,No,Points,Postcard,Low,1,Yes,High,1,1,5,Yes,939.75
2874,No,Points,Letter,Medium,1,No,High,2,1,4,No,1036
2875,No,Points,Letter,Medium,1,No,Medium,2,1,4,Yes,1142
2876,No,Points,Postcard,Medium,1,Yes,Low,2,1,2,No,719.25
2877,No,Air Miles,Postcard,Medium,1,No,Medium,2,2,3,Yes,1054.5
2878,No,Cash Back,Letter,Medium,1,No,Low,1,1,5,Yes,325.75
2879,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,4,No,1253
2880,No,Air Miles,Letter,Low,1,No,Medium,3,1,5,Yes,704.25
2881,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,1440
2882,No,Air Miles,Postcard,High,1,Yes,High,1,1,1,Yes,1782
2883,No,Air Miles,Letter,High,1,No,High,3,1,3,Yes,993.25
2884,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,2,Yes,1212.75
2885,No,Air Miles,Letter,Low,1,No,Low,2,1,4,Yes,1302
2886,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,Yes,1119.25
2887,No,Points,Postcard,Low,1,No,Low,1,2,5,No,1122.25
2888,No,Points,Postcard,Medium,2,No,Medium,3,1,4,Yes,1162.75
2889,No,Cash Back,Letter,Low,1,No,Low,1,1,2,Yes,1198.75
2890,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,3,No,909
2891,No,Air Miles,Postcard,Medium,2,No,Medium,1,1,3,No,815.75
2892,No,Cash Back,Postcard,Low,2,No,High,1,1,5,No,1648.75
2893,No,Air Miles,Letter,Medium,2,No,Medium,3,1,3,Yes,1299
2894,No,Points,Letter,High,1,No,High,2,1,5,Yes,307
2895,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,Yes,1082.75
2896,No,Air Miles,Postcard,High,2,No,High,2,2,3,Yes,1069.5
2897,No,Air Miles,Postcard,Low,2,No,Medium,2,1,6,No,989.5
2898,Yes,Air Miles,Postcard,Low,2,No,Low,3,1,4,No,961.5
2899,No,Air Miles,Postcard,Low,1,No,High,1,2,3,No,1262.5
2900,No,Cash Back,Postcard,High,1,Yes,High,2,1,3,Yes,1025.75
2901,No,Cash Back,Letter,High,2,Yes,Low,2,1,4,Yes,918.25
2902,No,Cash Back,Letter,High,1,No,Low,1,1,2,No,1140.25
2903,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,963
2904,No,Cash Back,Postcard,Low,1,No,Medium,3,1,3,No,336.75
2905,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,972
2906,No,Cash Back,Letter,High,1,No,Low,1,1,4,No,1003.75
2907,No,Air Miles,Postcard,Medium,1,Yes,Low,1,1,4,Yes,1352
2908,No,Cash Back,Postcard,Low,1,No,Medium,1,2,2,Yes,268.5
2909,No,Cash Back,Letter,Medium,1,No,High,2,1,4,Yes,957.25
2910,No,Cash Back,Letter,Medium,2,No,High,1,1,3,Yes,917
2911,No,Air Miles,Postcard,High,1,No,Low,2,1,4,Yes,959.25
2912,No,Air Miles,Postcard,Low,1,No,Medium,1,1,1,Yes,908.75
2913,No,Points,Letter,Low,1,Yes,High,2,1,3,No,760.5
2914,No,Points,Postcard,Medium,1,No,High,1,1,3,Yes,1303.25
2915,No,Air Miles,Letter,Medium,2,No,Low,1,1,3,Yes,901
2916,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,784.25
2917,No,Air Miles,Postcard,Low,3,No,Medium,2,1,2,Yes,173.5
2918,No,Air Miles,Postcard,Medium,1,No,High,2,1,5,Yes,1450
2919,No,Cash Back,Postcard,Low,1,No,Medium,2,1,3,Yes,1011.25
