Offer Accepted,Reward,rewardvalue,Mailer Type,mailertype,Income Level,incomelevel,Credit Rating,creditratingvalue,Credit Cards Held,Household Size,Average Balance
No,Air Miles,0,Letter,0,Low,0,High,2,1,4,1047.25
No,Points,3,Postcard,1,Low,0,Medium,1,2,5,210
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,1024
No,Cash Back,1,Postcard,1,High,3,High,2,3,5,1070
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,3,767.75
No,Air Miles,0,Letter,0,High,3,Low,0,2,4,969.5
No,Air Miles,0,Letter,0,Low,0,Medium,1,3,1,938.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,2,384
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,5,902
No,Points,3,Postcard,1,Medium,1,High,2,2,4,778.75
No,Air Miles,0,Letter,0,High,3,Medium,1,2,3,756.5
Yes,Air Miles,0,Postcard,1,Low,0,Low,0,3,4,321.5
No,Points,3,Letter,0,Low,0,High,2,2,3,1495.5
No,Air Miles,0,Letter,0,Low,0,Low,0,1,5,887.75
No,Air Miles,0,Letter,0,Medium,1,High,2,1,3,963
No,Points,3,Letter,0,Low,0,Medium,1,2,3,1200.5
No,Air Miles,0,Letter,0,High,3,High,2,2,2,976
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,3,1040.5
No,Air Miles,0,Postcard,1,High,3,Medium,1,2,4,1284.5
Yes,Points,3,Postcard,1,Low,0,Low,0,2,5,1238.5
No,Air Miles,0,Postcard,1,High,3,Medium,1,3,5,325.5
No,Cash Back,1,Postcard,1,Low,0,Low,0,1,3,1002
No,Cash Back,1,Letter,0,High,3,Medium,1,1,3,958
No,Points,3,Postcard,1,Medium,1,High,2,2,2,1094.25
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,5,1012.5
No,Cash Back,1,Letter,0,Medium,1,High,2,1,2,720
No,Cash Back,1,Letter,0,High,3,High,2,1,3,169.5
No,Cash Back,1,Letter,0,Medium,1,High,2,2,5,1355.75
Yes,Points,3,Postcard,1,High,3,Medium,1,2,3,1111.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,4,732.25
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,1032
No,Cash Back,1,Letter,0,Low,0,High,2,3,3,978.25
No,Points,3,Postcard,1,High,3,High,2,2,4,1114.5
No,Points,3,Postcard,1,Low,0,Low,0,3,4,266.75
No,Cash Back,1,Postcard,1,Low,0,High,2,2,3,782
No,Points,3,Postcard,1,High,3,High,2,4,4,1272
No,Air Miles,0,Letter,0,Low,0,Low,0,2,3,1171
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,4,326.25
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,5,1582
Yes,Air Miles,0,Postcard,1,Low,0,Low,0,1,5,173.75
No,Points,3,Postcard,1,Medium,1,Medium,1,1,2,1042.25
No,Air Miles,0,Letter,0,Medium,1,High,2,2,2,233.5
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,5,1398.75
No,Points,3,Postcard,1,Medium,1,Medium,1,2,4,274
Yes,Points,3,Postcard,1,High,3,Low,0,1,1,767.5
No,Points,3,Letter,0,High,3,High,2,3,3,1269.25
No,Air Miles,0,Letter,0,Low,0,Medium,1,1,4,1055.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,3,4,71.25
No,Points,3,Letter,0,High,3,High,2,2,4,1400.25
No,Air Miles,0,Postcard,1,Low,0,High,2,1,4,1141.25
No,Points,3,Postcard,1,High,3,Medium,1,2,1,1415.5
No,Points,3,Letter,0,Low,0,Low,0,1,2,266.75
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,2,285.75
Yes,Points,3,Postcard,1,Medium,1,Low,0,2,4,1062.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,5,901.25
No,Points,3,Postcard,1,Medium,1,High,2,2,3,652.75
No,Points,3,Letter,0,Medium,1,Medium,1,1,5,1094.5
No,Air Miles,0,Letter,0,Low,0,Medium,1,2,4,947.5
No,Points,3,Postcard,1,Low,0,Medium,1,3,4,179.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,4,789.25
No,Points,3,Postcard,1,High,3,Low,0,1,6,167.25
No,Cash Back,1,Postcard,1,Low,0,Medium,1,2,2,1072.25
No,Points,3,Letter,0,High,3,Medium,1,1,3,725.25
Yes,Air Miles,0,Postcard,1,Medium,1,Low,0,3,4,1055.25
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,3,198
No,Air Miles,0,Postcard,1,Low,0,High,2,2,2,165.25
No,Air Miles,0,Postcard,1,High,3,High,2,2,3,646
No,Air Miles,0,Postcard,1,High,3,Low,0,3,3,894.25
No,Cash Back,1,Letter,0,Low,0,Low,0,2,3,724
No,Points,3,Letter,0,Medium,1,High,2,2,2,302.25
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,4,1732.75
No,Points,3,Postcard,1,Low,0,Low,0,2,2,1334
No,Cash Back,1,Letter,0,Medium,1,High,2,1,5,933.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,2,1275.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,1,5,865
No,Air Miles,0,Postcard,1,High,3,Medium,1,1,3,859
No,Cash Back,1,Postcard,1,High,3,High,2,1,5,107.25
No,Air Miles,0,Postcard,1,High,3,Medium,1,3,5,1004.5
No,Points,3,Postcard,1,Medium,1,Medium,1,2,4,1794.5
No,Points,3,Postcard,1,Low,0,Medium,1,1,2,884.25
No,Points,3,Postcard,1,Medium,1,Medium,1,2,2,1194
No,Points,3,Letter,0,Low,0,Medium,1,1,5,1036.75
No,Air Miles,0,Postcard,1,Low,0,High,2,2,4,1738
No,Points,3,Letter,0,Low,0,Medium,1,1,2,799
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,2,1268.5
No,Points,3,Letter,0,Medium,1,Low,0,1,3,968
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,2,756.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,1436.75
No,Air Miles,0,Postcard,1,High,3,High,2,3,4,1391.25
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,3,1150.25
No,Cash Back,1,Letter,0,High,3,Medium,1,2,4,770.75
No,Points,3,Postcard,1,Low,0,Low,0,1,4,1036
No,Air Miles,0,Postcard,1,Medium,1,Low,0,1,4,1164.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,4,3,1083.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,4,1144.5
No,Cash Back,1,Letter,0,Medium,1,Medium,1,3,4,1332
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,4,901.5
No,Cash Back,1,Postcard,1,High,3,High,2,2,5,733.25
No,Points,3,Letter,0,High,3,Low,0,2,5,1003.75
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,6,1145
No,Air Miles,0,Postcard,1,High,3,Low,0,1,3,1093
No,Cash Back,1,Postcard,1,High,3,Low,0,1,4,216.75
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,3,1105.5
No,Air Miles,0,Letter,0,Low,0,High,2,1,2,1262.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,5,1251
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,4,233.75
No,Points,3,Letter,0,Low,0,High,2,1,3,785.5
No,Air Miles,0,Letter,0,Medium,1,Low,0,1,3,957.75
No,Points,3,Postcard,1,Medium,1,High,2,3,3,176.25
No,Cash Back,1,Postcard,1,High,3,Low,0,2,2,1124.25
No,Points,3,Letter,0,Low,0,High,2,1,4,1018
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,5,1307.75
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,1291.5
No,Cash Back,1,Letter,0,Low,0,Low,0,3,4,907.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,996.25
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,1183
No,Points,3,Letter,0,Medium,1,High,2,3,3,974.25
No,Cash Back,1,Postcard,1,High,3,High,2,1,2,932.75
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,3,1242.75
No,Points,3,Postcard,1,Low,0,Low,0,2,2,974
No,Air Miles,0,Letter,0,Medium,1,High,2,2,2,1196.25
No,Air Miles,0,Letter,0,Medium,1,High,2,2,3,1362.25
No,Points,3,Letter,0,Medium,1,High,2,3,2,740
No,Air Miles,0,Letter,0,High,3,Medium,1,2,4,918.75
No,Air Miles,0,Postcard,1,Low,0,Low,0,2,6,1147.25
Yes,Air Miles,0,Postcard,1,Medium,1,High,2,3,4,1195.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,3,3,783.25
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,2,1175
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,1136
No,Cash Back,1,Letter,0,High,3,Medium,1,1,6,978.25
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,2,756.25
No,Cash Back,1,Letter,0,Low,0,High,2,2,4,278.5
No,Cash Back,1,Letter,0,Medium,1,High,2,1,4,1099.75
No,Cash Back,1,Postcard,1,Low,0,Low,0,2,3,1064.25
Yes,Air Miles,0,Postcard,1,High,3,Low,0,3,4,939.5
No,Points,3,Letter,0,High,3,Medium,1,2,5,759.5
No,Air Miles,0,Letter,0,High,3,Medium,1,1,5,730.25
Yes,Cash Back,1,Postcard,1,High,3,Medium,1,1,4,980.75
No,Points,3,Postcard,1,Low,0,Low,0,2,5,1296.5
No,Points,3,Letter,0,High,3,Medium,1,2,5,942.75
No,Air Miles,0,Postcard,1,Medium,1,High,2,3,3,206.5
No,Air Miles,0,Postcard,1,High,3,High,2,4,5,1070
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,262
No,Air Miles,0,Postcard,1,High,3,High,2,2,3,1201.5
No,Points,3,Letter,0,High,3,High,2,1,4,938.75
No,Cash Back,1,Postcard,1,High,3,Low,0,2,2,1216.75
No,Points,3,Postcard,1,High,3,High,2,2,3,883.75
No,Air Miles,0,Letter,0,Low,0,High,2,3,3,1186.25
No,Points,3,Postcard,1,Medium,1,Low,0,2,5,1062.5
No,Air Miles,0,Postcard,1,High,3,Low,0,3,3,960.5
Yes,Air Miles,0,Letter,0,High,3,Medium,1,1,3,291.5
No,Cash Back,1,Letter,0,Medium,1,High,2,1,3,925.25
No,Points,3,Postcard,1,High,3,Medium,1,1,4,781.25
No,Cash Back,1,Letter,0,Low,0,High,2,3,2,1282.75
No,Points,3,Letter,0,Medium,1,Medium,1,4,4,1175.75
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,4,912.75
No,Points,3,Postcard,1,High,3,Low,0,2,2,1073.25
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,3,1007
No,Cash Back,1,Letter,0,High,3,High,2,1,3,720.25
No,Cash Back,1,Letter,0,Medium,1,High,2,2,4,1243.25
No,Points,3,Postcard,1,High,3,High,2,1,2,238
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,3,1247
No,Points,3,Postcard,1,Low,0,High,2,2,2,1029.5
No,Points,3,Postcard,1,Medium,1,Medium,1,3,1,752.25
No,Air Miles,0,Letter,0,High,3,High,2,1,3,695
No,Points,3,Letter,0,Medium,1,Low,0,3,2,1087.25
No,Points,3,Postcard,1,Low,0,Medium,1,3,4,1234.5
No,Cash Back,1,Postcard,1,Low,0,Medium,1,2,3,931.5
No,Air Miles,0,Letter,0,Low,0,Low,0,3,5,1139
No,Cash Back,1,Letter,0,Medium,1,Low,0,3,3,1026
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,5,1291
No,Cash Back,1,Letter,0,High,3,High,2,1,3,881.5
No,Air Miles,0,Letter,0,Medium,1,High,2,2,4,1539
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,3,1084
No,Air Miles,0,Letter,0,Medium,1,High,2,3,4,760.5
No,Cash Back,1,Postcard,1,Low,0,High,2,4,2,1204.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,5,1165
No,Points,3,Letter,0,Medium,1,Medium,1,1,3,1314.5
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,3,313.75
No,Points,3,Letter,0,High,3,Low,0,2,4,1308.75
No,Air Miles,0,Letter,0,High,3,High,2,1,3,1044.25
No,Air Miles,0,Letter,0,High,3,High,2,1,1,708.25
No,Air Miles,0,Letter,0,High,3,Medium,1,2,4,926.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,2,846
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,2,640
No,Points,3,Letter,0,High,3,High,2,2,4,1154
No,Cash Back,1,Postcard,1,Medium,1,High,2,3,4,915.25
No,Points,3,Letter,0,Medium,1,Low,0,1,2,231.25
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,5,121.25
No,Air Miles,0,Letter,0,High,3,Low,0,4,3,690
No,Points,3,Postcard,1,High,3,High,2,1,3,1179.5
No,Cash Back,1,Letter,0,Medium,1,High,2,1,3,276.75
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,4,996
No,Air Miles,0,Postcard,1,Medium,1,High,2,2,5,1065.5
No,Points,3,Postcard,1,High,3,Medium,1,3,3,1096.25
No,Points,3,Letter,0,Medium,1,Medium,1,1,4,1932
No,Points,3,Letter,0,Medium,1,Low,0,1,2,1232.5
No,Points,3,Postcard,1,Medium,1,Low,0,2,3,970
No,Points,3,Letter,0,Medium,1,Medium,1,2,4,1030.5
No,Points,3,Letter,0,Medium,1,High,2,2,3,171.5
Yes,Points,3,Letter,0,Low,0,Medium,1,1,3,801.75
No,Air Miles,0,Letter,0,High,3,Low,0,3,3,1322
No,Points,3,Letter,0,Low,0,High,2,2,1,1317.75
No,Points,3,Letter,0,Medium,1,Medium,1,1,2,1074
No,Points,3,Letter,0,Medium,1,High,2,3,6,669
No,Cash Back,1,Postcard,1,Low,0,Low,0,3,4,687.5
No,Points,3,Postcard,1,Medium,1,Medium,1,2,4,844
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,5,1377.75
No,Points,3,Postcard,1,Low,0,High,2,2,3,680
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,2,1089.75
No,Points,3,Postcard,1,Medium,1,Medium,1,1,5,904
No,Cash Back,1,Postcard,1,Medium,1,High,2,3,4,180.75
No,Cash Back,1,Letter,0,Medium,1,High,2,1,5,729
No,Cash Back,1,Postcard,1,Low,0,High,2,3,3,1136.75
No,Air Miles,0,Letter,0,Medium,1,High,2,3,2,821
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,1,1174
No,Cash Back,1,Letter,0,Low,0,Low,0,4,5,1211.5
No,Air Miles,0,Postcard,1,High,3,Low,0,3,3,750.5
No,Air Miles,0,Letter,0,Medium,1,High,2,1,5,1044
No,Points,3,Postcard,1,Medium,1,Medium,1,1,4,1164
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,4,280
No,Air Miles,0,Letter,0,Low,0,High,2,1,2,705.5
No,Points,3,Postcard,1,Medium,1,Medium,1,2,3,123.5
No,Air Miles,0,Letter,0,High,3,Medium,1,2,2,990
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,5,1121
No,Cash Back,1,Letter,0,Medium,1,High,2,2,4,1396.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,1,1365.5
No,Points,3,Letter,0,Medium,1,Low,0,1,3,1117.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,1,2,861.25
No,Cash Back,1,Letter,0,Low,0,Low,0,1,5,1202.75
No,Cash Back,1,Letter,0,High,3,High,2,2,3,959.5
No,Air Miles,0,Letter,0,Medium,1,High,2,3,2,287.25
No,Cash Back,1,Letter,0,High,3,High,2,1,3,1041.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,3,4,943.5
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,3,148.25
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,5,1196
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,5,880.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,1,3,962.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,4,909
No,Points,3,Letter,0,Medium,1,High,2,2,3,1020.5
No,Points,3,Letter,0,Medium,1,Medium,1,1,5,321
No,Air Miles,0,Letter,0,Medium,1,High,2,2,4,991
No,Cash Back,1,Postcard,1,Low,0,Low,0,3,2,865.5
No,Air Miles,0,Letter,0,High,3,Medium,1,2,3,1273
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,876.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,5,1314.5
No,Air Miles,0,Postcard,1,High,3,High,2,2,5,960.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,3,759.75
No,Points,3,Letter,0,Medium,1,High,2,4,5,1174.25
No,Points,3,Postcard,1,High,3,Medium,1,1,3,1180.5
No,Points,3,Letter,0,Medium,1,Low,0,1,2,987.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,6,754.25
No,Air Miles,0,Letter,0,Low,0,High,2,1,2,895
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,3,896.25
No,Points,3,Postcard,1,Medium,1,High,2,2,5,1198
No,Points,3,Postcard,1,Low,0,Low,0,1,2,1445
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,2,4,1388
No,Points,3,Letter,0,High,3,Medium,1,4,2,998.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,1,4,1013.25
No,Air Miles,0,Letter,0,Low,0,Low,0,1,5,895
No,Points,3,Postcard,1,Medium,1,Medium,1,2,2,732.5
No,Points,3,Postcard,1,High,3,High,2,2,4,205.25
No,Points,3,Letter,0,High,3,Medium,1,2,5,948
No,Air Miles,0,Postcard,1,Medium,1,High,2,3,3,1229
No,Points,3,Postcard,1,Medium,1,High,2,1,3,1102.75
No,Air Miles,0,Letter,0,Medium,1,Medium,1,3,2,202.75
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,2,939
No,Cash Back,1,Letter,0,High,3,Medium,1,1,3,1129.25
No,Air Miles,0,Postcard,1,High,3,Medium,1,3,6,1227.75
No,Points,3,Postcard,1,Medium,1,Low,0,1,4,726
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,3,780.25
No,Points,3,Postcard,1,High,3,Medium,1,1,2,1425.75
No,Points,3,Letter,0,High,3,Medium,1,2,3,660.75
No,Air Miles,0,Letter,0,High,3,Medium,1,1,4,1306
No,Cash Back,1,Letter,0,Medium,1,Medium,1,4,3,1023.75
No,Points,3,Postcard,1,Low,0,Medium,1,2,3,1004
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,3,987.25
No,Cash Back,1,Postcard,1,High,3,High,2,2,4,1223.75
No,Air Miles,0,Postcard,1,High,3,High,2,2,4,1176
No,Points,3,Letter,0,Low,0,Medium,1,1,3,827.75
No,Air Miles,0,Postcard,1,Medium,1,High,2,3,3,1032.75
No,Points,3,Letter,0,Medium,1,Medium,1,1,4,1316.5
No,Air Miles,0,Postcard,1,High,3,Medium,1,2,3,1257.75
No,Cash Back,1,Letter,0,Medium,1,High,2,1,5,684
No,Points,3,Letter,0,Medium,1,Medium,1,2,3,1010.5
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,3,1250.75
No,Air Miles,0,Postcard,1,Medium,1,Low,0,1,3,730.25
No,Cash Back,1,Letter,0,Low,0,Low,0,2,5,1153.75
No,Points,3,Postcard,1,Medium,1,Low,0,3,3,922.75
No,Air Miles,0,Letter,0,Medium,1,Medium,1,1,3,1464.25
No,Air Miles,0,Postcard,1,High,3,Medium,1,1,4,229.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,3,1309.25
No,Air Miles,0,Letter,0,High,3,Low,0,1,4,915
No,Air Miles,0,Letter,0,High,3,Medium,1,3,4,230.75
No,Cash Back,1,Letter,0,High,3,Medium,1,2,6,601.5
No,Cash Back,1,Letter,0,High,3,Low,0,2,3,917.25
No,Points,3,Letter,0,Medium,1,Medium,1,1,2,241.75
No,Points,3,Postcard,1,High,3,High,2,3,2,830.25
No,Points,3,Letter,0,Medium,1,High,2,2,2,993.25
No,Points,3,Letter,0,High,3,Medium,1,3,3,944
No,Points,3,Postcard,1,Medium,1,High,2,1,4,757.5
No,Air Miles,0,Letter,0,Medium,1,High,2,1,2,1032.25
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,262
No,Cash Back,1,Postcard,1,Medium,1,Low,0,3,5,869.5
Yes,Air Miles,0,Postcard,1,Medium,1,Low,0,1,2,1236.25
No,Cash Back,1,Letter,0,Low,0,Medium,1,2,5,830.25
No,Cash Back,1,Letter,0,Medium,1,High,2,2,4,1066.5
No,Cash Back,1,Letter,0,High,3,Low,0,2,4,1121.75
No,Cash Back,1,Letter,0,Medium,1,High,2,3,3,1008.25
No,Cash Back,1,Postcard,1,Low,0,Medium,1,3,2,1526.75
No,Cash Back,1,Letter,0,Low,0,High,2,3,5,944.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,3,194
Yes,Points,3,Letter,0,Medium,1,High,2,3,4,1054.25
No,Air Miles,0,Postcard,1,Medium,1,High,2,3,3,1724.75
No,Cash Back,1,Letter,0,High,3,High,2,1,5,878
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,3,1114.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,1,365.25
No,Points,3,Letter,0,Low,0,High,2,2,4,357.75
No,Air Miles,0,Letter,0,High,3,High,2,1,3,1009.25
No,Points,3,Letter,0,High,3,High,2,1,4,986.25
No,Cash Back,1,Letter,0,High,3,Medium,1,2,5,169.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,4,1049.75
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,4,863.5
No,Cash Back,1,Postcard,1,High,3,High,2,2,6,970.5
No,Points,3,Postcard,1,High,3,Medium,1,2,5,854
No,Air Miles,0,Postcard,1,High,3,Low,0,2,4,1054
No,Points,3,Letter,0,Medium,1,Medium,1,2,5,1502.75
No,Cash Back,1,Letter,0,Low,0,High,2,1,4,888.5
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,4,991.5
No,Cash Back,1,Letter,0,High,3,Low,0,4,5,692.25
No,Cash Back,1,Letter,0,High,3,High,2,2,3,1127
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,2,940.25
No,Air Miles,0,Letter,0,Low,0,High,2,2,5,1226.75
No,Air Miles,0,Postcard,1,High,3,Low,0,1,3,1034.75
No,Points,3,Letter,0,High,3,High,2,2,4,710
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,817.25
No,Points,3,Letter,0,Medium,1,Medium,1,1,5,1177.5
No,Points,3,Postcard,1,High,3,High,2,1,4,1158.75
No,Cash Back,1,Postcard,1,Low,0,Low,0,1,4,1290.5
No,Air Miles,0,Letter,0,Low,0,High,2,1,2,1770
No,Points,3,Letter,0,High,3,Low,0,2,5,896.25
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,5,904
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,4,256
No,Cash Back,1,Letter,0,Medium,1,High,2,2,5,1155
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,3,1087.25
No,Cash Back,1,Letter,0,High,3,High,2,2,4,1163.25
No,Points,3,Letter,0,High,3,High,2,1,3,654.5
No,Points,3,Postcard,1,Medium,1,High,2,1,3,217.25
No,Air Miles,0,Letter,0,Low,0,High,2,4,4,1212
No,Air Miles,0,Letter,0,High,3,Medium,1,2,6,1181
No,Points,3,Postcard,1,Medium,1,Low,0,3,5,1338.5
No,Cash Back,1,Letter,0,Medium,1,Low,0,1,5,1699.75
No,Cash Back,1,Letter,0,Medium,1,Medium,1,3,4,1156
No,Points,3,Postcard,1,Medium,1,Medium,1,2,3,337
No,Cash Back,1,Letter,0,High,3,Low,0,1,3,1105.25
No,Points,3,Postcard,1,Medium,1,Medium,1,1,5,732.25
No,Points,3,Postcard,1,Low,0,Medium,1,2,5,1205.75
Yes,Air Miles,0,Postcard,1,Medium,1,High,2,2,2,1298.75
No,Cash Back,1,Postcard,1,Low,0,High,2,1,2,1093.25
No,Points,3,Postcard,1,High,3,Medium,1,1,3,813.75
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,3,1028
No,Points,3,Letter,0,Low,0,Low,0,3,3,1136.25
No,Air Miles,0,Postcard,1,High,3,High,2,2,3,1065.75
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,3,835
No,Air Miles,0,Postcard,1,High,3,Medium,1,1,5,1091.75
No,Air Miles,0,Letter,0,High,3,Medium,1,1,2,1009.5
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,2,1415
No,Air Miles,0,Letter,0,Low,0,High,2,2,3,132
No,Air Miles,0,Letter,0,Low,0,High,2,2,4,1792
No,Air Miles,0,Letter,0,Low,0,Low,0,4,5,1420
No,Points,3,Letter,0,Medium,1,High,2,2,3,1057
No,Cash Back,1,Letter,0,Medium,1,High,2,1,4,1345
No,Air Miles,0,Letter,0,Low,0,High,2,2,2,1093.5
Yes,Cash Back,1,Postcard,1,Low,0,Low,0,2,3,1094.25
Yes,Air Miles,0,Postcard,1,Low,0,Low,0,2,2,1726.5
No,Cash Back,1,Letter,0,Low,0,High,2,3,3,341.25
No,Air Miles,0,Letter,0,Low,0,High,2,2,1,1132.75
Yes,Air Miles,0,Postcard,1,Medium,1,Low,0,1,4,788.25
No,Air Miles,0,Letter,0,Low,0,High,2,3,3,1012.75
No,Cash Back,1,Letter,0,Medium,1,Low,0,2,4,787.25
No,Cash Back,1,Letter,0,High,3,Low,0,1,3,1275.75
Yes,Points,3,Postcard,1,Medium,1,Low,0,1,4,960.25
No,Points,3,Postcard,1,High,3,Medium,1,2,2,686
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,1,5,1163
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,3,1636.25
No,Air Miles,0,Postcard,1,High,3,High,2,2,4,1059.5
Yes,Cash Back,1,Postcard,1,Medium,1,Low,0,2,5,1063
No,Points,3,Postcard,1,Medium,1,High,2,2,4,1264
No,Cash Back,1,Letter,0,Medium,1,Medium,1,3,2,1146
No,Cash Back,1,Postcard,1,High,3,Medium,1,2,4,1213
No,Air Miles,0,Letter,0,High,3,Medium,1,1,3,724
No,Cash Back,1,Letter,0,Medium,1,Medium,1,2,4,1132.75
No,Cash Back,1,Postcard,1,High,3,Low,0,3,4,1477.5
No,Cash Back,1,Postcard,1,Medium,1,High,2,3,4,1229.5
No,Air Miles,0,Letter,0,High,3,Low,0,2,3,208.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,3,5,272.5
No,Points,3,Postcard,1,Medium,1,Low,0,1,3,670.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,2,3,1046.25
No,Cash Back,1,Postcard,1,Medium,1,Low,0,2,3,1062
No,Cash Back,1,Letter,0,Low,0,Medium,1,1,2,1033
No,Air Miles,0,Letter,0,Low,0,Medium,1,3,2,680
No,Points,3,Letter,0,Medium,1,High,2,1,2,1365.5
No,Cash Back,1,Postcard,1,Low,0,High,2,2,4,1058.5
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,3,816.5
No,Points,3,Letter,0,Medium,1,High,2,2,2,1079
No,Points,3,Letter,0,High,3,High,2,2,3,1097.75
No,Air Miles,0,Postcard,1,Low,0,Medium,1,4,4,1173.75
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,5,299.25
No,Points,3,Postcard,1,Low,0,Low,0,2,4,1332
No,Points,3,Postcard,1,Medium,1,Medium,1,2,5,938.25
No,Air Miles,0,Postcard,1,High,3,High,2,1,1,992.75
No,Air Miles,0,Letter,0,High,3,High,2,1,2,1130.25
