Customer Number,Income Level,Credit Rating,Credit Cards Held,Household Size,Average Balance
2917,Low,Medium,2,2,173.5
2918,Medium,High,2,5,1450
2919,Low,Medium,2,3,1011.25
2920,High,Medium,1,4,1155.25
2921,Medium,Low,4,3,1144.5
2922,Medium,Low,2,4,1022.5
2923,High,High,1,4,1084.25
2924,Low,Medium,3,3,1145
2925,Medium,Medium,2,4,1033
2926,Low,High,1,6,862.75
2927,Medium,Medium,2,2,218.5
2928,Low,Medium,4,3,1290.25
2929,Medium,High,1,4,675.5
2930,Medium,Medium,2,3,1309
2931,Low,Medium,2,5,994.25
2932,Medium,Medium,2,3,1064.75
2933,Medium,Low,2,4,921
2934,Medium,Low,3,4,1105.75
2935,High,Low,3,4,1350.75
2936,Medium,Medium,2,3,1102.25
2937,Medium,Medium,1,2,1064.25
2938,Low,Low,1,4,405
2939,Medium,Low,2,4,285.25
2940,Medium,Medium,1,3,1028.25
2941,Medium,High,1,4,217.75
2942,Low,Low,1,2,974.75
2943,Low,Medium,1,2,999.75
2944,Medium,High,1,5,814
2945,Medium,High,2,3,843.75
2946,Medium,Low,1,3,353.25
2947,Medium,Medium,1,3,1207.5
2948,Medium,Low,1,2,783.25
2949,Medium,High,2,5,1027.5
2950,Medium,Low,2,4,971.5
2951,Medium,Low,1,4,1328.75
2952,High,High,2,5,1064.5
2953,High,High,2,3,1004.5
2954,Medium,Low,2,5,761.5
2955,Low,High,1,4,686.25
2956,Medium,High,4,4,1256.5
2957,Low,Medium,3,2,274.5
2958,Medium,Low,4,3,1102
2959,High,High,2,4,239.5
2960,Medium,Low,2,3,1154
2961,Low,High,1,2,748
2962,Low,Medium,1,5,1058
2963,Medium,Medium,1,3,1314.75
2964,High,Medium,1,4,1308.5
2965,Medium,Low,3,3,179
2966,Medium,Medium,1,3,1239
2967,High,High,2,2,1165
2968,Low,Low,3,5,938.25
2969,Medium,Low,2,3,1100.5
2970,Medium,High,2,3,271.75
2971,Medium,High,2,2,1053
2972,Medium,High,4,2,1039.75
2973,Medium,High,2,3,1349.5
2974,Medium,Medium,1,3,1386
2975,High,Low,1,3,726.25
2976,Low,Low,1,2,964
2977,Low,High,2,3,244.75
2978,Low,Low,2,3,1341.75
2979,High,High,3,5,1235.75
2980,Medium,Medium,1,3,264.75
2981,Medium,High,2,3,1057.5
2982,Medium,Medium,2,3,1564.75
2983,Medium,Low,1,3,159.75
2984,Medium,Medium,2,4,1138
2985,Medium,High,1,3,900
2986,High,Medium,1,4,1156.75
2987,Medium,Medium,2,2,904.75
2988,Low,High,2,3,335
2989,Medium,Medium,2,2,783.5
2990,Medium,Low,3,2,342.5
2991,High,Low,2,4,1375
2992,Medium,Low,2,4,1258
2993,Medium,Medium,3,5,1113
2994,High,Medium,1,4,695.25
2995,High,High,3,5,1416
2996,High,High,3,4,972.75
2997,Medium,Medium,4,3,642.75
2998,Medium,Medium,1,3,1285.5
2999,High,Medium,2,3,929.25
3000,High,Low,2,2,950.75
3001,Medium,Medium,1,4,1367.75
3002,Low,Low,2,5,902
3003,Medium,Medium,2,3,979.5
3004,High,High,1,4,816.5
3005,Low,High,1,3,873
3006,Medium,Medium,3,5,1123.75
3007,Medium,Medium,2,2,1288.25
3008,High,High,1,2,1095
3009,Medium,High,3,4,200.25
3010,Medium,Low,2,3,422
3011,Low,Medium,3,6,1120.75
3012,Medium,Low,2,3,604.75
3013,Low,High,2,4,697.25
3014,Medium,Low,2,3,255.25
3015,Low,Low,2,3,1009.25
3016,Low,Low,2,2,1070.5
3017,Low,High,3,3,1490.5
3018,High,Low,3,3,1228.5
3019,Medium,High,2,4,1308.5
3020,Medium,Low,2,3,955.75
3021,Medium,High,2,4,1481.75
3022,Medium,High,3,3,669.75
3023,High,High,1,5,1134.5
3024,High,High,2,4,1007.5
3025,Medium,Low,3,1,1004
3026,Medium,High,1,3,983
3027,Low,Low,3,2,218.25
3028,High,High,1,4,1188.25
3029,Medium,High,1,3,716.25
3030,Medium,Medium,1,5,1828
3031,Medium,High,1,3,1338.5
3032,High,High,1,3,1093.25
3033,High,High,2,2,905.5
3034,Medium,Low,3,4,1054
3035,Low,High,2,3,957
3036,Low,Low,4,3,1065.75
3037,High,Medium,1,3,1431
3038,Medium,High,1,3,1314
3039,Medium,Low,2,2,745.25
3040,High,Medium,2,3,793.25
3041,High,High,1,5,710.25
3042,Medium,Low,4,3,1056.25
3043,Low,High,2,3,949.5
3044,Medium,High,1,4,1355.75
3045,Medium,Low,4,4,1051
3046,Low,High,2,4,1131.25
3047,High,Medium,2,2,1259.75
3048,Low,High,2,3,1044.5
3049,Medium,Low,1,3,1166.5
3050,Medium,Medium,2,5,1153.75
3051,Low,Low,2,3,1394.25
3052,Medium,High,3,1,822
3053,Low,Low,1,4,996
3054,Medium,Low,2,4,1144
3055,Low,High,2,4,1213
3056,Low,High,2,5,769.75
3057,Low,Medium,1,1,1047.75
3058,Medium,High,1,6,193.5
3059,High,Low,1,2,1234.75
3060,Medium,Medium,3,3,1123
3061,Medium,Medium,1,4,1119.5
3062,Low,Low,3,3,1333.75
3063,Low,High,3,3,947.5
3064,High,Medium,4,3,1045.75
3065,Low,Medium,2,4,733.75
3066,High,Medium,1,4,1182.75
3067,Medium,Medium,2,4,1149.75
3068,High,Low,2,3,778
3069,Medium,High,2,3,1139.75
3070,High,Low,2,1,1033.75
3071,Low,Medium,2,4,0
3072,Low,Medium,2,4,1049.5
3073,Low,Medium,1,4,1055.5
3074,High,Low,3,3,1224.75
3075,Medium,Medium,1,3,872.25
3076,Medium,Medium,3,3,764.5
3077,High,Medium,1,4,948.25
3078,Low,Medium,2,3,823.75
3079,High,High,1,4,1130
3080,High,Low,1,3,234.5
3081,High,Medium,1,4,1127.75
3082,Low,Medium,2,4,772.75
3083,High,High,2,3,263.5
3084,High,High,2,3,648
3085,Low,Medium,1,4,1104.75
3086,High,Medium,2,3,1217.75
3087,Medium,Low,3,3,269.25
3088,Medium,High,3,3,375.75
3089,Medium,Low,3,3,1065.5
3090,Medium,High,2,5,782.5
3091,Medium,Low,2,4,1128.25
3092,Medium,Medium,1,5,995
3093,Medium,Low,1,6,1286.25
3094,Low,Low,2,1,292
3095,Low,High,1,4,243.5
3096,Medium,Low,1,2,739
3097,Low,Low,2,4,1173.25
3098,Low,Medium,4,3,1205.25
3099,High,High,2,4,1176.5
3100,Medium,Medium,2,4,186.5
3101,High,Medium,3,4,791
3102,Medium,Medium,1,3,773.5
3103,Medium,Low,2,5,1092.75
3104,Low,High,2,2,1012.75
3105,Medium,High,2,4,233.25
3106,Medium,Low,4,4,1314.25
3107,Low,High,2,2,686.25
3108,Medium,Medium,2,3,190.75
3109,Low,High,3,4,0
3110,Low,Low,2,3,1241
3111,Medium,High,3,4,1057.5
3112,Medium,Medium,2,5,230.25
3113,Low,Low,1,4,1205.75
3114,Medium,Medium,2,4,1090.75
3115,Low,High,1,5,1115.5
3116,Low,Medium,1,3,205.75
3117,Low,High,2,3,1184.5
3118,Medium,Medium,1,4,1193.5
3119,Medium,High,2,3,1055.5
3120,High,Medium,1,3,1114.25
3121,Medium,Low,2,2,1002.5
3122,Medium,High,1,3,248
3123,Medium,High,1,3,750
3124,High,High,2,4,1086.25
3125,Low,Medium,3,4,746
3126,Medium,High,2,3,1162.25
3127,Medium,High,1,2,1064.75
3128,Low,High,2,6,1077.75
3129,Low,High,3,3,1040.5
3130,Medium,Medium,2,5,1146.25
3131,High,Low,2,6,140.5
3132,Medium,High,1,4,792.5
3133,Medium,Low,2,4,933.5
3134,Medium,High,3,3,1187.25
3135,Low,Low,2,4,761.25
3136,Low,Medium,1,3,885
3137,Medium,Medium,2,5,1162.75
3138,Medium,Medium,1,4,1103.5
3139,High,High,1,6,1158.5
3140,Low,High,2,4,767.5
3141,Low,Medium,3,2,886.25
3142,Medium,Low,2,4,201
3143,Medium,Medium,1,3,895
3144,Medium,Low,1,5,1258.25
3145,High,High,4,4,270
3146,High,Low,3,4,1049
3147,Medium,Medium,2,2,340.75
3148,High,Medium,3,5,359.25
3149,Medium,Medium,1,3,998
3150,Low,Medium,1,4,287.75
3151,High,Low,2,4,928.5
3152,High,Low,2,4,684.25
3153,Low,Low,1,5,800.75
3154,Medium,High,2,3,1219.75
3155,Medium,Low,1,4,1300.75
3156,Medium,Low,2,5,1224.25
3157,High,High,3,5,209.5
3158,Medium,Medium,3,4,990.5
3159,Medium,Low,2,3,1814.5
3160,Medium,Medium,3,4,758
3161,High,Low,3,5,1065.5
3162,High,Medium,2,3,1197
3163,Medium,Low,3,3,1034.75
3164,Medium,Medium,2,2,960.75
3165,Medium,Medium,1,3,1071.25
3166,Medium,Low,1,3,1034
3167,Medium,Low,2,1,887.5
3168,Medium,Low,2,3,860.25
3169,High,High,1,4,1364.25
3170,High,Medium,3,3,186.25
3171,Low,High,1,3,1006
3172,High,Low,2,2,860.75
3173,Medium,Low,3,5,1193.25
3174,Medium,Medium,3,3,1388.5
3175,Low,High,3,3,752.25
3176,Medium,Medium,2,5,858.5
3177,Medium,Low,2,2,999
3178,Medium,High,2,3,1194.25
3179,Medium,Low,1,4,905
3180,Medium,Medium,2,2,1023.25
3181,Medium,Low,1,4,713.75
3182,Medium,Medium,4,1,861.25
3183,Medium,High,2,5,884.5
3184,Medium,Medium,3,4,1031.25
3185,Medium,High,2,3,1010
3186,Medium,High,2,4,779.75
3187,Low,High,2,3,350.25
3188,High,High,1,4,1050.75
3189,Medium,Low,3,3,709.75
3190,Medium,Low,2,4,1053.25
3191,Medium,Medium,2,3,881.25
3192,Medium,Medium,1,3,329.5
3193,High,Low,1,2,243.25
3194,Low,Low,2,3,716.75
3195,Medium,Low,3,3,1151.25
3196,Medium,Low,2,3,1123
3197,Low,High,1,2,1081
3198,Low,High,1,4,970.25
3199,High,High,1,4,1225
3200,High,Medium,3,5,1186.25
3201,Medium,High,2,2,1225
3202,High,Low,2,4,1030
3203,Medium,High,1,2,1083
3204,High,High,2,3,1086.25
3205,Medium,High,2,4,1209
3206,Medium,Low,1,2,952
3207,Medium,Medium,1,4,1057.25
3208,Low,High,2,3,261
3209,Low,Low,2,1,304
3210,High,Medium,1,5,1086
3211,Medium,Medium,2,4,681
3212,Medium,Low,1,1,753.25
3213,Medium,Medium,1,4,362.75
3214,Medium,Low,3,3,266
3215,Medium,Low,1,4,1143.5
3216,Medium,High,1,2,1065.5
3217,High,Low,3,5,146.75
3218,Medium,Low,1,4,789.25
3219,Low,Low,1,4,686.25
3220,Medium,Low,1,5,1004
3221,Medium,Medium,2,5,712
3222,Low,Medium,1,3,138.75
3223,Low,High,3,3,1188.25
3224,Medium,Medium,1,3,1178
3225,Medium,Low,2,5,797.5
3226,Low,Low,3,2,1497.75
3227,Medium,Low,2,2,998.25
3228,Low,Medium,3,4,181
3229,Low,Low,1,5,1095
3230,High,Low,3,5,1058.25
3231,Medium,High,2,2,1086.25
3232,Medium,Low,1,2,902.25
3233,Low,High,2,2,262.75
3234,Medium,High,4,6,1196
3235,High,High,2,4,1212
3236,Medium,Low,2,3,1056.75
3237,Low,Medium,1,4,1032.5
3238,Low,Medium,3,5,583.75
3239,Medium,Low,2,3,761.75
3240,Low,High,2,6,908.5
3241,Medium,High,2,3,1160.75
3242,High,High,1,4,1420.5
3243,Low,Medium,1,2,981.25
3244,Medium,Low,2,3,898.5
3245,Medium,Medium,1,6,1199.25
3246,Medium,High,1,3,937.75
3247,High,High,1,3,645.25
3248,Medium,High,1,5,148.5
3249,High,Medium,1,3,255.5
3250,Low,High,2,3,925.75
3251,High,Low,1,3,772.75
3252,Medium,Low,1,6,1313.5
3253,Low,Low,2,4,1282
3254,High,High,3,6,1096.25
3255,Medium,Medium,3,4,807.25
3256,Medium,Medium,2,2,1117
3257,High,Low,1,3,1150
3258,Low,Low,1,3,796.25
3259,Medium,Medium,2,2,637.5
3260,Low,Medium,2,4,1261.75
3261,Medium,Low,1,3,240.75
3262,Medium,Medium,2,6,1108.25
3263,Medium,Medium,2,2,1230
3264,Medium,Medium,1,2,270
3265,Medium,Medium,2,3,768.75
3266,Medium,High,2,4,1825.75
3267,High,Medium,1,4,833
3268,High,High,2,3,984.5
3269,Medium,Low,2,5,1045.75
3270,Low,Medium,2,3,794.5
3271,Low,Medium,2,3,1080.75
3272,Medium,Low,1,3,1174.75
3273,High,Medium,2,4,176.25
3274,Medium,Medium,2,4,955
3275,High,Low,2,4,754.75
3276,Low,High,3,4,1253.75
3277,Medium,Medium,2,3,1064.5
3278,Medium,Medium,2,4,273.75
3279,Medium,Low,4,4,1129.75
3280,Low,High,3,4,652
3281,Low,Medium,1,3,972.5
3282,High,High,2,3,1114.25
3283,Medium,Low,1,3,1354
3284,High,High,2,3,896
3285,Medium,Medium,1,4,743.5
3286,High,Low,2,3,708.75
3287,Medium,Low,2,4,693.75
3288,High,Low,2,5,936.25
3289,Low,Low,2,4,1123
3290,High,Low,3,2,943.25
3291,Low,Low,1,1,1076.5
3292,Medium,High,2,2,1018
3293,Medium,High,1,3,1210
3294,High,Medium,1,3,1217
3295,Medium,High,3,5,886.5
3296,Medium,Medium,4,3,931
3297,Medium,Medium,3,3,1203.75
3298,Medium,High,2,3,1026
3299,Medium,Medium,1,2,869.75
3300,Medium,Low,1,4,709.75
3301,Low,Low,3,2,1217.5
3302,High,High,1,4,1036
3303,Medium,Medium,1,4,171
3304,Medium,High,1,2,1129.75
3305,Medium,High,1,6,992.25
3306,Low,High,2,6,739.25
3307,Medium,Low,2,3,1389
3308,Low,Medium,4,3,1433.25
3309,Medium,High,2,3,974
3310,Medium,High,2,2,833
3311,High,Medium,2,3,124.25
3312,High,Medium,1,4,1663
3313,Medium,Low,2,3,891
3314,Medium,Low,1,5,934
3315,Medium,Medium,1,4,884.75
3316,Medium,High,2,3,1003
3317,Medium,High,1,5,760.25
3318,Medium,High,3,1,1161.25
3319,High,Medium,1,6,1051.75
3320,Medium,Medium,1,2,187.75
3321,High,High,2,3,1034
3322,Medium,Low,1,5,1114.5
3323,Low,Low,2,4,581.5
3324,Medium,High,2,3,958
3325,Medium,Low,2,4,1028.75
3326,Medium,High,3,3,1011.25
3327,Low,High,3,3,1124.25
3328,Medium,Low,1,3,1095
3329,Medium,High,3,4,1071
3330,Medium,Medium,2,5,1078.5
3331,Medium,Low,1,4,1012.25
3332,Medium,Medium,1,3,923
3333,High,Medium,3,4,1017
3334,Medium,High,3,3,1012.75
3335,Medium,High,1,3,838.5
3336,High,High,1,3,856.75
3337,Medium,Medium,2,4,957.5
3338,Medium,Medium,1,3,1179.75
3339,Medium,High,2,2,835.75
3340,Medium,Low,1,4,1052
3341,High,High,3,2,1197.25
3342,Low,Medium,3,2,248.75
3343,Medium,High,2,6,1075.5
3344,Medium,Medium,2,2,1251.75
3345,Medium,High,1,4,356.5
3346,Medium,High,1,5,628
3347,Medium,High,3,2,1059
3348,High,Low,2,2,333.25
3349,Low,Medium,2,3,1145.5
3350,High,Low,1,2,844.75
3351,Low,Medium,2,5,879
3352,High,Low,2,4,1222.25
3353,Medium,High,1,4,1086.25
3354,Low,High,1,3,922.75
3355,High,Medium,2,2,1004.75
3356,Medium,Low,1,3,663
3357,Low,Medium,1,4,953.75
3358,Medium,Low,1,3,1012.5
3359,Medium,Medium,2,3,757.75
3360,Low,Low,2,3,969.75
3361,Medium,Medium,3,4,1173.25
3362,Low,Medium,3,2,1119
3363,Medium,Medium,2,3,898.75
3364,Low,High,2,4,1198.75
3365,High,High,2,2,1361.25
3366,Medium,High,2,3,260
3367,Low,Low,3,4,250
3368,Low,High,4,3,1109.25
3369,Medium,Low,2,3,832.75
3370,Low,High,4,4,1057.25
3371,High,High,2,1,641.25
3372,High,Medium,2,4,1089.75
3373,High,Medium,2,4,1026.25
3374,Low,Low,3,2,1687.5
3375,Medium,Low,1,4,866.5
3376,Low,High,2,1,947.5
3377,Medium,High,1,6,1207.25
3378,High,Medium,2,3,1382.25
3379,High,Medium,3,4,1087.25
3380,Low,Medium,2,3,226.25
3381,High,High,1,3,818
3382,High,High,3,4,876.5
3383,Medium,Medium,2,5,772.75
3384,Medium,Medium,2,3,1748
3385,Low,High,4,4,729.25
3386,Low,High,2,6,149.25
3387,High,High,2,4,799.25
3388,Medium,High,1,3,999.25
3389,Low,Medium,2,4,1138.5
3390,Low,High,4,2,1187
3391,Medium,Medium,1,3,964.25
3392,Medium,Low,1,3,1138.75
3393,High,Medium,1,4,1289.5
3394,Low,Medium,3,3,273
3395,High,Medium,2,5,1164.75
3396,Medium,High,2,2,1371.25
3397,Medium,High,2,3,918
3398,Medium,Low,3,3,1141
3399,Low,High,2,4,1307.25
3400,Low,Medium,3,3,983.75
3401,Low,Low,2,3,1026.5
3402,High,High,2,3,759.5
3403,Medium,High,2,4,290.75
3404,High,Low,3,4,278.5
3405,Medium,Medium,3,3,1066.75
3406,High,High,2,5,1328.5
3407,Low,High,2,6,1177
3408,High,Medium,3,5,1326.25
3409,High,Low,1,5,1127
3410,Low,High,2,3,1221
3411,Low,Low,1,2,301.25
3412,High,High,2,3,1269.75
3413,Medium,Low,1,4,1083.25
3414,Low,Low,2,3,960
3415,Medium,Low,2,4,755.5
3416,Medium,Low,2,3,1311
3417,High,Medium,1,4,1357.5
3418,Medium,Medium,1,5,1214.5
3419,Medium,Low,1,2,1274.25
3420,Low,Low,1,4,1001.25
3421,Low,Low,2,3,1299
3422,Medium,High,2,2,885.5
3423,High,Low,2,3,1027.75
3424,Medium,Medium,2,3,964.5
3425,High,High,2,4,1336.75
3426,Medium,High,2,5,1131.5
3427,Low,Low,1,2,1054
3428,High,High,1,3,1070.75
3429,High,Low,1,4,1037.25
3430,Medium,High,1,3,1122.25
3431,High,High,2,1,302.5
3432,High,High,3,4,1065.5
3433,Medium,High,1,3,1431.5
3434,High,Medium,1,4,976.25
3435,High,High,3,3,1394.75
3436,Low,High,1,2,1078.5
3437,High,Medium,2,4,1125.25
3438,Low,Low,2,4,1221.75
3439,Low,Medium,2,4,1146
3440,High,Low,2,4,1306.75
3441,Medium,Medium,1,2,1479.5
3442,High,High,2,2,969
3443,Medium,Medium,1,3,1033.5
3444,Medium,High,2,4,1192.25
3445,High,Low,1,4,1110
3446,Medium,Medium,1,3,324
3447,Medium,Medium,2,2,1031
3448,Medium,Low,2,3,1144.75
3449,High,Low,2,3,1078.25
3450,Medium,High,2,6,970
3451,Medium,Medium,3,2,1396.25
3452,High,Medium,2,5,719.75
3453,Low,Medium,1,4,1134.25
3454,Low,Medium,2,4,1203.75
3455,High,Low,3,4,1249.25
3456,Medium,Low,2,4,1148
3457,Low,Medium,1,2,699.75
3458,Low,High,2,6,947.25
3459,High,Medium,2,3,1085.5
3460,Medium,Low,1,3,1027
3461,Low,High,1,3,1097
3462,High,Medium,2,2,1103.75
3463,Low,Medium,2,4,1294
3464,High,Medium,2,4,702.5
3465,High,High,1,3,339
3466,Medium,High,2,4,919
3467,Medium,Low,2,3,1221.25
3468,High,High,3,2,770
3469,Medium,High,1,4,1760.5
3470,Low,Low,1,2,836.5
3471,Low,High,1,2,947.5
3472,Medium,Medium,2,4,1123.75
3473,Low,High,2,2,793.75
3474,Medium,Medium,1,4,768.25
3475,Medium,High,2,6,273
3476,Medium,High,3,3,1172.25
3477,Low,High,3,3,970.75
3478,High,High,2,4,1184.75
3479,Medium,Medium,1,2,990.5
3480,Low,Low,2,4,291.25
3481,Medium,High,2,3,1198.25
3482,High,High,2,5,1290.25
3483,High,High,3,2,1204.75
3484,Low,Medium,3,3,1184.5
3485,Medium,Medium,1,3,1164.25
3486,Medium,Low,1,3,1039.25
3487,Medium,Low,3,2,1060.75
3488,Medium,Medium,2,2,885.75
3489,Medium,High,2,4,985.25
3490,Medium,High,1,2,782
3491,High,High,2,4,872
3492,High,Low,2,6,1108.75
3493,High,High,3,4,1428.75
3494,Medium,Low,3,3,973.25
3495,Medium,Medium,3,4,1371
3496,Medium,Low,2,4,173.5
3497,Medium,Low,2,2,245
3498,Low,Low,1,4,1516.75
3499,Medium,Medium,4,3,1063.25
3500,Medium,High,3,5,1297.5
3501,Medium,High,2,4,822.5
3502,Low,High,2,4,1330.25
3503,Medium,Low,3,4,843
3504,Medium,High,1,2,1088
3505,Medium,Medium,1,5,927.25
3506,Medium,High,2,3,997.75
3507,Low,Low,1,3,1806.75
3508,Medium,High,3,4,1040.5
3509,High,High,2,2,981.75
3510,Medium,Medium,1,5,938.25
3511,Low,Low,2,4,1093.5
3512,High,Low,2,3,1011.75
3513,High,Low,3,2,1197.75
3514,Medium,Low,2,3,1064
3515,Medium,High,2,3,1659.25
3516,Low,Low,2,2,1012.75
3517,Low,Medium,3,5,1100.5
3518,Medium,Low,3,4,1140
3519,Low,High,1,4,1772.75
3520,Medium,Low,2,2,185.5
3521,High,Medium,1,4,1825.25
3522,Medium,Low,2,3,874
3523,Low,Low,1,1,824.25
3524,High,Medium,1,3,722.5
3525,Medium,Low,2,5,303
3526,High,Medium,2,4,989
3527,High,High,3,4,1111.25
3528,High,High,2,3,1915.75
3529,Medium,High,2,5,994
3530,Medium,High,2,1,740.25
3531,Low,Medium,1,4,903
3532,Medium,Low,2,5,996
3533,High,Medium,2,2,1036.75
3534,High,Medium,3,4,765.5
3535,Medium,Low,2,6,1257
3536,Medium,Medium,4,4,1269
3537,Medium,Low,1,5,1013.75
3538,Medium,Low,2,5,310.75
3539,High,Low,2,3,1053.5
3540,Medium,High,3,4,967.75
3541,Medium,Medium,2,4,851.75
3542,Medium,Medium,3,1,111.5
3543,High,High,3,4,1124
3544,High,Medium,1,4,1067
3545,High,High,1,4,1059
3546,Low,Low,3,4,1048.75
3547,Medium,High,1,5,776.25
3548,Medium,High,1,6,238.75
3549,Low,Low,1,3,873.25
3550,High,Medium,4,4,1252.25
3551,High,Low,2,2,244.25
3552,Low,Medium,3,5,959.5
3553,High,Low,2,2,1101
3554,Medium,High,3,3,916.75
3555,Low,High,1,4,940
3556,Low,Low,1,5,1020.75
3557,Medium,High,2,5,994.5
3558,Medium,Medium,1,4,765.25
3559,High,Medium,3,4,817.5
3560,High,High,2,4,756.75
3561,Medium,Low,2,4,910.25
3562,Medium,Low,2,4,948.75
3563,Medium,Medium,1,4,944.25
3564,Medium,Medium,2,4,1069.25
3565,Low,High,2,4,1200.25
3566,Medium,Medium,2,4,1719
3567,High,Medium,2,3,629.75
3568,Low,Low,3,3,808.5
3569,Medium,Low,2,3,1062.25
3570,Low,Medium,2,3,870.25
3571,High,Medium,3,2,777.5
3572,High,Low,4,2,1117.25
3573,Medium,High,2,3,1142
3574,Low,High,1,3,725.75
3575,Medium,High,1,4,1160
3576,High,High,1,3,864.25
3577,Medium,Low,2,5,1055.25
3578,Medium,Low,1,3,1152
3579,Low,Low,1,4,1140
3580,Medium,High,1,3,1091
3581,Medium,Medium,2,5,635.25
3582,Medium,High,1,2,379.75
3583,High,Low,2,2,932.75
3584,Medium,High,2,4,738.75
3585,Low,High,2,3,1221
3586,Low,Medium,1,5,212.75
3587,High,Medium,3,4,1037.5
3588,High,High,2,2,803.25
3589,Low,Low,3,4,1351
3590,Low,Medium,2,2,1049.25
3591,Low,High,1,2,918
3592,Medium,Medium,1,4,1002.75
3593,Medium,Low,2,3,966
3594,High,Low,2,4,1216.5
3595,Medium,Medium,3,4,398.75
3596,Low,Medium,1,3,244.25
3597,High,Low,2,4,742.5
3598,Low,High,2,4,929.75
3599,Medium,Low,1,5,731.25
3600,Medium,High,2,4,1000
3601,Low,Low,2,5,207.75
3602,High,Low,2,4,119.25
3603,Low,Low,1,3,974.25
3604,Medium,Low,1,3,890
3605,Medium,Low,1,4,924
3606,Low,Medium,1,1,1122.5
3607,High,High,2,4,1224.25
3608,High,Low,3,3,811.25
3609,High,Low,3,5,1273
3610,Low,Medium,2,4,971.5
3611,Medium,High,1,4,933.5
3612,High,Low,3,5,934
3613,Medium,Medium,2,2,1030
3614,Medium,Low,2,5,1035.5
3615,Medium,High,1,5,1326
3616,High,High,3,5,705.5
3617,High,Low,2,5,794.5
3618,Low,Medium,2,3,1075.25
3619,Low,Low,2,3,980.25
3620,High,High,2,3,642.25
3621,Low,Medium,1,5,1459
3622,High,Low,2,3,268.75
3623,Medium,Medium,1,4,1214.5
3624,Low,Medium,3,2,892.5
3625,Medium,Medium,2,4,1450.5
3626,Medium,Low,2,6,884
3627,High,High,2,5,1315.25
3628,Medium,High,3,4,1395
3629,Low,Medium,3,1,241.25
3630,Low,High,1,4,993
3631,Low,Medium,1,4,854.25
3632,Medium,Medium,2,4,1200.25
3633,High,High,3,3,718.25
3634,Low,Low,3,1,649
3635,Medium,High,2,5,1143.25
3636,Medium,Low,2,3,1230.25
3637,Medium,High,2,3,998
3638,Low,High,2,3,1140.5
3639,Medium,Medium,1,3,1121.25
3640,High,Low,2,4,793.75
3641,Low,Medium,2,5,954
3642,Medium,High,2,6,686
3643,Low,Medium,2,2,734.5
3644,High,Low,3,4,1658.25
3645,Low,Low,3,5,425
3646,Medium,High,2,3,309.5
3647,Medium,High,3,5,739
3648,Low,High,3,2,811
3649,High,High,1,1,1704.25
3650,Medium,High,2,3,1442.25
3651,Low,Medium,4,4,589.25
3652,High,Low,1,4,727.5
3653,Medium,Low,1,2,847.75
3654,Medium,High,2,4,1386.25
3655,High,Medium,1,5,1035.25
3656,Medium,Medium,1,3,944
3657,Medium,Low,1,3,1050
3658,Medium,Medium,2,5,1062.25
3659,Low,Low,1,5,315.75
3660,High,Medium,2,2,679.25
3661,Medium,Low,1,3,916.25
3662,Medium,Medium,2,3,984
3663,Low,High,2,4,824.75
3664,High,Medium,3,4,1138.25
3665,Low,Low,2,4,1008.25
3666,Medium,Medium,1,4,847
3667,High,Low,2,2,1763
3668,Medium,High,1,3,1088.25
3669,Medium,Low,1,1,185.25
3670,Low,Low,2,5,1106.75
3671,Medium,Medium,2,2,158.5
3672,Medium,High,2,4,962.75
3673,Low,Medium,2,2,1107.25
3674,Medium,Low,3,4,873
3675,Low,High,2,3,1066.75
3676,High,Low,1,2,888.5
3677,Medium,Low,1,4,907.75
3678,Medium,Medium,1,6,1087
3679,Medium,Low,1,4,275
3680,Medium,Low,1,2,1730.5
3681,Medium,High,2,3,915.75
3682,High,Low,2,3,1056.5
3683,Medium,Low,1,4,884
3684,Medium,High,2,2,1119.25
3685,Medium,Medium,2,4,1256.75
3686,High,Low,2,3,232.5
3687,Medium,Medium,2,4,1040
3688,High,High,1,2,1042.25
3689,Low,Medium,1,3,951.75
3690,Medium,Medium,1,5,1324.5
3691,High,High,2,3,1001
3692,High,High,3,2,724.25
3693,Medium,Low,2,6,1152.75
3694,Medium,Low,4,3,983.75
3695,Low,Low,2,5,1027.5
3696,High,Low,2,4,1167.5
3697,High,High,2,3,655.25
3698,Medium,High,2,2,769.5
3699,High,Low,2,4,1190.75
3700,Low,High,1,4,740.5
3701,Medium,Low,1,3,1125
3702,High,Medium,2,2,361.75
3703,Medium,Low,1,4,1098.75
3704,High,Medium,3,5,1018.5
3705,Medium,Low,1,4,1289
3706,Low,Low,1,3,1566.25
3707,Low,Low,1,3,1773.25
3708,Low,Medium,2,2,1069.75
3709,Medium,Low,1,4,179.25
3710,Medium,High,1,2,1079
3711,Medium,Low,1,3,1042
3712,Medium,High,1,5,966
3713,High,Medium,1,4,1072
3714,Medium,Medium,2,3,746
3715,Medium,Low,3,6,1196.25
3716,Medium,High,3,3,1098.5
3717,Low,Low,1,4,776.75
3718,Medium,Low,1,3,1040.5
3719,Low,Medium,2,4,1097.25
3720,Medium,Medium,2,2,1324.25
3721,Medium,Medium,2,1,209.75
3722,Medium,High,3,4,1069.25
3723,Medium,High,1,1,330.75
3724,High,High,2,2,262
3725,Low,Medium,1,4,1124.75
3726,High,Medium,2,4,205
3727,Low,Low,4,3,1247
